# Constructed from biom file
#OTU ID	CFT12_d7_S48	CFT14_d7_S50	CFT17_d7_S53	CFT18_ds5_S54	CFT19_ds5_S55	CFT23_ds5_S59	CFT30_ds5_S66	CFT6_d7_S42
746fd4750ea0c83d30d15a735db8b6b4	913.0	96.0	418.0	594.0	1348.0	305.0	768.0	708.0
96ea220f55c3751876741d90ba587f89	14.0	581.0	598.0	654.0	1483.0	14.0	323.0	154.0
a79bbd298881b2978428ce5872df6916	1293.0	0.0	110.0	585.0	38.0	1448.0	382.0	262.0
774652aa44f6771d37e57da934ddb8f1	0.0	2.0	4.0	48.0	0.0	1844.0	0.0	1.0
e081f1b23d67079819d4c4ffe8710c16	79.0	0.0	180.0	0.0	0.0	0.0	0.0	866.0
a5cdb1e184907c7619824ae3591ea017	346.0	49.0	30.0	1047.0	0.0	77.0	547.0	193.0
2fc70fc23b02f8d9a18d1f2fc25b4d1a	40.0	48.0	958.0	35.0	6.0	0.0	12.0	98.0
21dae457e5ba969f6d7ad4875fb388cb	22.0	0.0	274.0	37.0	0.0	0.0	0.0	585.0
53f7c89e00d6541a414c12975e28b199	46.0	0.0	68.0	0.0	296.0	0.0	431.0	4.0
0e1452cdca7415faed3c603538059693	38.0	1269.0	28.0	0.0	0.0	0.0	3.0	102.0
41d298e129daa287209d9919a2a9fa0b	21.0	5.0	302.0	178.0	0.0	18.0	0.0	47.0
5c04c5d9f57274226d56a4e615c7a6ed	18.0	33.0	0.0	0.0	40.0	0.0	418.0	0.0
1359d26d32085d0657f9711f861154b7	208.0	95.0	0.0	8.0	15.0	3.0	142.0	68.0
94e9c55f4de57d97e5613be1c5684a20	23.0	0.0	68.0	73.0	0.0	49.0	14.0	151.0
a203157aeb378dbc88112f4e682c0814	0.0	0.0	3.0	0.0	89.0	0.0	173.0	0.0
b646c09e3271c163a837a928c73e496c	9.0	22.0	20.0	324.0	0.0	38.0	25.0	66.0
211263e5438f43fbb83de4d8fbee225d	22.0	0.0	61.0	4.0	101.0	0.0	0.0	0.0
306c97d0f98e87457ee7540206687c40	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0
6ef74ae7a9f18d38a3dc288473d7e323	234.0	18.0	45.0	0.0	3.0	1.0	10.0	59.0
a7bce65010a633e41ae29e79b5a134b8	70.0	181.0	0.0	89.0	0.0	65.0	0.0	4.0
b8636c3376e767320fc90d0d1f9b4351	57.0	37.0	9.0	6.0	44.0	3.0	71.0	7.0
d0cd12692f7a696461efefab2920c98f	0.0	0.0	0.0	0.0	0.0	0.0	174.0	0.0
b94191e6cb0ff942d89652ecd842ce90	68.0	0.0	49.0	21.0	0.0	10.0	0.0	15.0
31af5a5efa6914dfb1c039bf8a660e50	26.0	16.0	0.0	0.0	38.0	0.0	4.0	25.0
ef5df525705e76bdfb604f20c5ce6603	0.0	84.0	67.0	0.0	0.0	0.0	0.0	0.0
ea7d12063260b644b9ee28f756398288	0.0	0.0	0.0	0.0	51.0	0.0	0.0	0.0
fff1d3d2e0c1259204aa52ff28dec0ea	0.0	0.0	5.0	16.0	1.0	0.0	0.0	71.0
da0915d228dbe9a5ec6ed72afbccf709	0.0	0.0	0.0	0.0	0.0	4.0	0.0	102.0
fbe7afde6ba1f30506807c65a19d8765	0.0	0.0	27.0	0.0	38.0	0.0	0.0	0.0
4356c6bfd59bacc51df17293ea884ec1	0.0	0.0	11.0	0.0	48.0	0.0	0.0	0.0
aeb0d396d014bb760765f2fbd303c79b	0.0	0.0	82.0	15.0	0.0	0.0	0.0	5.0
daef49e41c885a41f17ab0d8cf2ecddb	0.0	69.0	14.0	0.0	16.0	0.0	16.0	0.0
51b03c296c5cd7ac993f4984045ffbd7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0
7f8c239227d250f9f564d517894e4eba	0.0	0.0	17.0	0.0	18.0	0.0	0.0	0.0
a0f549c1dc8f07347d80116c8d671d49	0.0	45.0	0.0	0.0	0.0	0.0	77.0	0.0
c9f15fc36f83882028b98ea249375691	0.0	39.0	44.0	43.0	0.0	0.0	0.0	0.0
2caffbd83520cd10b01900f1e0981d75	0.0	0.0	24.0	0.0	27.0	0.0	0.0	0.0
789372cf00e89dea2d0c609e2b1bc22b	28.0	0.0	0.0	0.0	11.0	3.0	68.0	0.0
3e7b07c9468508df964ab5526e21916f	0.0	12.0	9.0	0.0	0.0	0.0	5.0	40.0
1e9fcd77df201d06fb75812c73a1e1e2	0.0	0.0	40.0	0.0	0.0	0.0	0.0	31.0
d0c16e5e4508a02e87b3d66ee78652b9	57.0	0.0	27.0	0.0	11.0	0.0	23.0	0.0
61c194e0af4b8e1b46a5ef32b658c70e	6.0	124.0	1.0	0.0	0.0	0.0	0.0	0.0
006311f44d3074226621c26270c4f46a	95.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0
bbcd84cb70e3cfb8fd5504b3229a35d1	5.0	60.0	2.0	20.0	0.0	0.0	0.0	14.0
b2df45be221da2197d3676026d12220d	0.0	12.0	0.0	0.0	26.0	0.0	0.0	0.0
33d7c19c20d44f42b768c34a9bba1005	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
ab09df09b1c98ecc945911d8f3ab4590	0.0	115.0	0.0	0.0	0.0	0.0	0.0	0.0
73fca0fbfc88c3734dc4a59838155835	0.0	0.0	19.0	0.0	1.0	18.0	5.0	5.0
9c4f0d98feffaa8c01f5fe4ba16d6a89	0.0	0.0	0.0	0.0	0.0	0.0	4.0	53.0
e4bced064b6a56daffabf2a67382d6ef	0.0	8.0	38.0	0.0	0.0	0.0	7.0	0.0
ea97179c5447a6c0ad0ec187a4e0baae	0.0	0.0	0.0	55.0	0.0	1.0	0.0	19.0
88ce8bab7aa1a7081d5f2d9cd9a9b073	0.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0
7191d6ae0362c807df8b43f81742093a	0.0	42.0	12.0	0.0	0.0	3.0	0.0	0.0
d2bae9f7696cceb4ebdb1eb297effa9c	22.0	0.0	0.0	0.0	11.0	0.0	10.0	0.0
1a6f6f26392b218829207d757284bcb9	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
7fc707bddcf6f056b32a421df00d5f8e	0.0	20.0	12.0	0.0	0.0	0.0	21.0	0.0
42f1647120b966e8608220252ed42595	0.0	25.0	23.0	0.0	0.0	0.0	0.0	2.0
e9d0e0f347725d12d90fa5e5f811efb8	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
1c22a5c76792d2bcbde5c78e799f10be	0.0	38.0	0.0	0.0	0.0	0.0	0.0	16.0
db8a9feb64089809a8d80b802af86b28	0.0	0.0	0.0	0.0	1.0	11.0	17.0	0.0
0db1be96bb36137033b7e780daebe7b7	14.0	0.0	7.0	0.0	0.0	0.0	22.0	0.0
649475d9e2ebb19865e94c6ce711ddee	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0
c93045a4e3974c06d5d7f8dc04043a56	10.0	19.0	4.0	3.0	0.0	1.0	0.0	4.0
49705f99c2897d0a6739d8fbd4909ad2	0.0	0.0	10.0	0.0	0.0	0.0	10.0	0.0
d9a190123c4b099053f16cc62e122681	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0
c9cb6087d6b71c1a7a1f5779c4d32125	0.0	24.0	1.0	0.0	11.0	3.0	0.0	0.0
adf827642ba8539194059d7dfbbce5d7	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
a6487e2527c8323d2fb45f6f1b2f65b2	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
