ID	calf	treatment	diagnostic	day	sickness 	antibiotic
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
CFT1_d0_S1	C1	H_d0	NoResp	h0	Got	Yes
CFT1_d7_S37	C1	H_d7	NoResp	h7	Got	Yes
CFT1_ds0_S67	C1	S_ds0	RespD	s0	Got	Yes
CFT10_d0_S10	C10	H_d0	NoResp	h0	Never	Yes
CFT10_d14_S80	C10	H_d14	NoResp	h14	Never	Yes
CFT10_d7_S46	C10	H_d7	NoResp	h7	Never	Yes
CFT11_d0_S11	C11	H_d0	NoResp	h0	Never	No
CFT11_d14_S81	C11	H_d14	NoResp	h14	Never	No
CFT11_d7_S47	C11	H_d7	NoResp	h7	Never	No
CFT12_d0_S12	C12	H_d0	NoResp	h0	Never	No
CFT12_d14_S82	C12	H_d14	NoResp	h14	Never	No
CFT12_d7_S48	C12	H_d7	NoResp	h7	Never	No
CFT13_d0_S13	C13	H_d0	NoResp	h0	Never	No
CFT13_d14_S83	C13	H_d14	NoResp	h14	Never	No
CFT13_d7_S49	C13	H_d7	NoResp	h7	Never	No
CFT14_d0_S14	C14	H_d0	NoResp	h0	Never	No
CFT14_d14_S84	C14	H_d14	NoResp	h14	Never	No
CFT14_d7_S50	C14	H_d7	NoResp	h7	Never	No
CFT15_d0_S15	C15	H_d0	NoResp	h0	Got	Yes
CFT15_d14_S85	C15	H_d14	NoResp	h14	Got	Yes
CFT15_d7_S51	C15	H_d7	NoResp	h7	Got	Yes
CFT16_d0_S16	C16	H_d0	NoResp	h0	Never	Yes
CFT16_d14_S86	C16	H_d14	NoResp	h14	Never	Yes
CFT16_dCFT7_S52	C16	H_d7	NoResp	h7	Never	Yes
CFT17_d0_S17	C17	H_d0	NoResp	h0	Never	No
CFT17_d14_S87	C17	H_d14	NoResp	h14	Never	No
CFT17_d7_S53	C17	H_d7	NoResp	h7	Never	No
CFT18_ds0_S18	C18	S_ds0	RespD	s0	Got	Yes
CFT18_ds1_S31	C18	S_ds1	RespD	s1	Got	Yes
CFT18_ds10_S68	C18	S_ds10	RespD	s10	Got	Yes
CFT18_ds5_S54	C18	S_ds5	RespD	s5	Got	Yes
CFT19_d0_S19	C19	H_d0	NoResp	h0	Got	Yes
CFT19_ds0_S32	C19	S_ds0	RespD	s0	Got	Yes
