ID	axis1	axis2
CFT1_ds0_S67	-0.034146548	0.130533215
CFT11_d0_S11	0.216370781	-0.028807294
CFT12_d7_S48	0.022345466	0.102206529
CFT13_d0_S13	-0.289797102	-0.464665173
CFT17_d7_S53	-0.218629602	0.066518488
CFT18_ds0_S18	0.275899368	-0.131700264
CFT19_ds0_S32	-0.02003289	0.09148203
CFT2_d0_S2	0.148479812	0.021908037
CFT20_d0_S20	0.297605062	-0.163698758
CFT21_ds1_S70	-0.327707908	0.029871045
CFT22_d14_S89	-0.048241632	0.150859753
CFT23_ds1_S34	0.177223729	-0.022455091
CFT29_ds1_S72	0.025900651	0.113978706
CFT30_ds1_S36	0.166923402	0.000877389
CFT6_d7_S42	-0.128931417	0.126641733
CFT9_ds0_S94	-0.263261173	-0.023550346
