	faith_pd
CFT1_ds0_S67	6.172796827499999
CFT11_d0_S11	4.466123397499999
CFT12_d7_S48	5.897489036499999
CFT13_d0_S13	13.973152724
CFT17_d7_S53	8.341336529499998
CFT18_ds0_S18	3.403216862499999
CFT19_ds0_S32	6.5227937964999985
CFT2_d0_S2	4.9743854955
CFT20_d0_S20	3.4354043174999993
CFT21_ds1_S70	9.848927735499998
CFT22_d14_S89	5.474984139499998
CFT23_ds1_S34	4.864450981499999
CFT29_ds1_S72	6.7598839444999985
CFT30_ds1_S36	4.949432436499999
CFT6_d7_S42	6.994094923499999
CFT9_ds0_S94	7.370084390499999
