ID	axis1	axis2
CFT1_ds0_S67	-0.118778872	0.005839425
CFT11_d0_S11	-0.180764213	-0.01741141
CFT12_d7_S48	0.061154163	0.167376297
CFT13_d0_S13	0.056606163	-0.079154512
CFT17_d7_S53	0.231498543	-0.006147257
CFT18_ds0_S18	-0.130794506	-0.11840923
CFT19_ds0_S32	-0.153931281	-0.007468648
CFT2_d0_S2	-0.038410533	0.136473997
CFT20_d0_S20	-0.159933222	-0.105916671
CFT21_ds1_S70	0.170111823	0.014460443
CFT22_d14_S89	0.226969306	-0.167127128
CFT23_ds1_S34	-0.123221999	-0.099909964
CFT29_ds1_S72	0.073918936	-0.106177061
CFT30_ds1_S36	-0.07200814	0.159994558
CFT6_d7_S42	0.180878941	0.061805588
CFT9_ds0_S94	-0.023295108	0.161771571
