# Constructed from biom file
#OTU ID	CFT1_ds0_S67	CFT11_d0_S11	CFT12_d7_S48	CFT13_d0_S13	CFT17_d7_S53	CFT18_ds0_S18	CFT19_ds0_S32	CFT2_d0_S2	CFT20_d0_S20	CFT21_ds1_S70	CFT22_d14_S89	CFT23_ds1_S34	CFT29_ds1_S72	CFT30_ds1_S36	CFT6_d7_S42	CFT9_ds0_S94
c03b2e56e5a42f06e39c09d2188e4eb9	95.0	629.0	73.0	812.0	7.0	1232.0	1389.0	56.0	543.0	2.0	3.0	1575.0	47.0	37.0	8.0	113.0
c1483c33170b31cb777f3867a6b2aef4	1258.0	1.0	219.0	17.0	0.0	0.0	1539.0	1090.0	0.0	582.0	48.0	5.0	364.0	264.0	69.0	483.0
9f733ad2ab65d3668401fc9e3b91af6b	290.0	2774.0	87.0	19.0	33.0	0.0	205.0	408.0	0.0	0.0	0.0	3.0	49.0	1769.0	0.0	369.0
c718189775925b5f562f808e3839766c	0.0	74.0	0.0	337.0	0.0	786.0	114.0	202.0	2743.0	0.0	0.0	651.0	132.0	6.0	0.0	0.0
a3e2a6199e8a4234fec19f9b873dba78	90.0	65.0	1469.0	1055.0	173.0	41.0	253.0	646.0	6.0	113.0	0.0	274.0	47.0	247.0	309.0	180.0
7af4abe4b05805f30aae10a97ad3bee8	152.0	3.0	1086.0	156.0	494.0	4.0	72.0	799.0	1.0	646.0	257.0	27.0	332.0	984.0	873.0	313.0
56c44cef52317de6ec3ec667d2195359	0.0	0.0	21.0	1518.0	80.0	0.0	2.0	68.0	0.0	0.0	0.0	0.0	261.0	0.0	166.0	0.0
f420c3864aabd432793e983de0c31980	403.0	0.0	54.0	7.0	88.0	0.0	435.0	548.0	2.0	147.0	143.0	0.0	68.0	237.0	8.0	63.0
dec2d434a6ffb4fa9444775c439b113f	874.0	193.0	50.0	13.0	41.0	168.0	3.0	108.0	114.0	71.0	39.0	531.0	21.0	0.0	123.0	25.0
719d7c477670fd35ba81341053190caf	3.0	81.0	452.0	75.0	42.0	570.0	5.0	94.0	161.0	31.0	142.0	163.0	361.0	4.0	290.0	4.0
c658bb3bef5d8cf27ac38643d82e459f	0.0	118.0	11.0	37.0	10.0	528.0	4.0	0.0	336.0	0.0	0.0	332.0	0.0	0.0	0.0	0.0
77e6d39fe04a5bf977373f68f777b987	195.0	0.0	0.0	0.0	0.0	0.0	197.0	152.0	0.0	79.0	0.0	0.0	45.0	0.0	13.0	67.0
e06b5d5a1e4ddad944a98b102b092971	8.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	872.0	2095.0	0.0	0.0	0.0	0.0	0.0
2df7d29d8f98325c3ba503390cb39d67	17.0	0.0	16.0	16.0	592.0	6.0	1.0	8.0	0.0	258.0	10.0	3.0	379.0	0.0	150.0	51.0
3920bfca9bdff9c1837728b8c867b854	0.0	2.0	13.0	25.0	19.0	25.0	0.0	28.0	179.0	0.0	28.0	258.0	211.0	17.0	79.0	0.0
acd43705ae4fb79bc59ace2d5be363f1	3.0	0.0	84.0	0.0	205.0	0.0	0.0	0.0	0.0	55.0	249.0	7.0	0.0	0.0	950.0	0.0
53187b1b2e5e0cb21a7847ba1b28739b	0.0	6.0	44.0	5.0	1054.0	9.0	3.0	61.0	0.0	0.0	78.0	0.0	17.0	1.0	101.0	0.0
b85c6ac9fc01b850feabf1b61d887041	0.0	21.0	0.0	49.0	0.0	554.0	1.0	0.0	0.0	0.0	0.0	99.0	0.0	14.0	0.0	0.0
b94c948bd0a85cb867dcf4ed09ba6ef3	26.0	0.0	26.0	0.0	274.0	0.0	2.0	0.0	0.0	8.0	468.0	3.0	6.0	0.0	618.0	0.0
d6894ba1db44da8c8b10e289d58012db	1.0	249.0	32.0	22.0	1.0	0.0	9.0	30.0	0.0	0.0	12.0	19.0	3.0	9.0	23.0	0.0
ccbb1f12b499ec5110eec0b4a3f3d23d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	563.0	0.0	0.0
cd74b4fe2c89588e52d726613566258b	349.0	0.0	23.0	0.0	365.0	0.0	2.0	4.0	0.0	3.0	0.0	0.0	42.0	0.0	55.0	0.0
4c907e6eaf0d66c5ac2499fe9ea74153	134.0	0.0	7.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	21.0	0.0	464.0	0.0	11.0	0.0
957920aac174fc049dc8f926d1b4fd69	10.0	0.0	77.0	55.0	0.0	0.0	20.0	32.0	0.0	55.0	37.0	61.0	77.0	25.0	6.0	0.0
507c5e5d6acbe88c0f44e6daf485d54c	97.0	30.0	7.0	47.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	199.0	45.0	0.0	0.0
2a2b3385c0ab04b432632438c16484b6	0.0	0.0	0.0	0.0	3.0	0.0	61.0	5.0	0.0	73.0	0.0	1.0	0.0	3.0	0.0	458.0
b247ee1cd893c7e6a86a2b181a10a80b	0.0	0.0	0.0	1.0	5.0	323.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9d8d5b4a26fbd2fb2480a3732af878dc	17.0	0.0	0.0	0.0	21.0	0.0	49.0	10.0	0.0	27.0	28.0	0.0	19.0	0.0	0.0	0.0
587153531b4793680017e74ed161f859	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0	119.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0
0c7e816f4404472e8c636b29216b1747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	386.0	0.0	0.0	0.0
88bea5e546f4f36cf1edd24ff057dc5a	0.0	4.0	0.0	0.0	0.0	28.0	0.0	0.0	11.0	0.0	0.0	210.0	4.0	0.0	0.0	0.0
8d165dce59678097f96a2dc8bcd964a8	167.0	0.0	25.0	1.0	0.0	0.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	396.0
1513f76e65a98dff27d7582ca0432c0f	0.0	0.0	16.0	1.0	0.0	0.0	7.0	2.0	92.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0
77228a8a70a0f03bc0407bb82bf65804	3.0	50.0	0.0	1.0	0.0	0.0	6.0	0.0	0.0	19.0	85.0	2.0	0.0	4.0	107.0	0.0
9411ffae95d8b1b3bacfb7b6b0aae887	2.0	0.0	256.0	0.0	67.0	0.0	1.0	0.0	0.0	79.0	14.0	0.0	3.0	22.0	70.0	0.0
35ae4f1bad338118059c9817006ea44c	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	15.0	0.0	0.0	2.0	152.0	13.0	0.0	0.0
fd766f4d37a6126b933dc23fb07a73de	3.0	0.0	0.0	54.0	0.0	0.0	4.0	39.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
d4609a94a54ea217e6740b6dae15ea48	0.0	21.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	4.0	0.0	24.0	0.0	0.0
8564c39208b29372fa55c74caeb474b6	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	13.0	564.0
42ef69f5fffcb8282f3e3fe00f82019a	0.0	6.0	0.0	0.0	6.0	0.0	0.0	17.0	3.0	58.0	64.0	5.0	14.0	0.0	33.0	48.0
1c3f1509083be4837b737b26127b5872	0.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	34.0	0.0	0.0	19.0	0.0
1e0787f00b689853185099a48d01deef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	202.0	0.0	0.0	0.0	0.0	0.0	0.0
565cc769e982af1b9a639d26ce369fb8	0.0	0.0	37.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	27.0	0.0	19.0
48be79e9a350bac2fd148349dc3a8e24	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	179.0	0.0	64.0	0.0	0.0	0.0
e4fff65a87b4ac7db7e52277e93c9390	32.0	0.0	0.0	27.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
63da1805e63a2227f2d31f06f8acd8fe	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	509.0
9c337e4a4c657733917c451f32330b45	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc5c79642af8cb2f9578fd089c179f16	1.0	0.0	0.0	0.0	9.0	0.0	0.0	19.0	0.0	0.0	44.0	0.0	0.0	0.0	94.0	0.0
665b6d31e3d9630d5d6b96302bd2af90	114.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5204a9b8a7dd22aa41e3d5cafcbc10d5	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c822435e83c33e35286b4fdc5a95002e	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	70.0	0.0	0.0	0.0	43.0	0.0
bda81aa95b2e43b6bce077f673bd970d	0.0	0.0	12.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	107.0	1.0	0.0	0.0
5e470fe78d7a962f9fd3da528a8e99a0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	0.0	0.0	0.0
0a8a92c0d948688bd1bdf60181d2ffed	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0
2887e400b669db6efde836365a1aa534	0.0	16.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
bd6560835cc03405179b0a867976e6e7	0.0	0.0	0.0	0.0	91.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	6.0	0.0
69379416183c5e6c59257efb63629f5a	4.0	0.0	70.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0
f140186954c232e2d46d631cff41c7f5	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	112.0	0.0	1.0	0.0	0.0	0.0	0.0
adb99ea6ab4d20f8b76968dbbb34d23c	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	12.0	0.0	9.0	17.0	0.0
f6a13064b456c95347a25a8ca982890a	0.0	0.0	0.0	4.0	39.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	36.0	67.0
40f3eadcd02c65a6836dab724e9a7baf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
be74e5f04f75d59d818b7cec99aadcde	0.0	0.0	0.0	0.0	86.0	0.0	1.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0
396a5d7d9084aa0ce42da24078d9f9bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	57.0	0.0	0.0	0.0
2383dcb97ae58a6736175fbe9df922a9	0.0	0.0	0.0	4.0	0.0	18.0	0.0	22.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
cd8004903e8c9a843527e7a5353470da	0.0	0.0	26.0	0.0	0.0	0.0	1.0	8.0	0.0	39.0	0.0	3.0	4.0	0.0	0.0	0.0
6e547260e57602d9f9c14804d3dc5f8b	0.0	0.0	6.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57ae666163b024ca5ce028fd73b67627	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	61.0	0.0	0.0	0.0
2db9bcfe78cf965b02198a2dbcd5137b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	94.0	0.0	0.0	0.0	0.0	0.0	0.0
7da75659b9317491bdc221fead836d33	0.0	0.0	0.0	11.0	5.0	0.0	7.0	7.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	9.0
985ff8506496342d3dcbd83fa42394bd	0.0	0.0	16.0	2.0	61.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
e6a429db9fd355913ffc0b9f813a09a4	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	25.0	10.0	0.0	39.0	0.0	0.0	0.0
6b9544b511a14ff9231f75e879ed952e	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	184.0
f2e9967f002cb9ad123b3f60c285c77e	7.0	0.0	13.0	0.0	6.0	0.0	0.0	6.0	0.0	0.0	5.0	0.0	24.0	0.0	4.0	6.0
5ca81f789d07e0219bcde4adb03dd855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
