	shannon
CFT1_ds0_S67	3.490184093401162
CFT11_d0_S11	2.1877518652244796
CFT12_d7_S48	3.312132827704698
CFT13_d0_S13	2.916509050696959
CFT17_d7_S53	4.218651912524121
CFT18_ds0_S18	3.0393123882009303
CFT19_ds0_S32	2.7537851361131773
CFT2_d0_S2	3.329302585088675
CFT20_d0_S20	2.1628879144972335
CFT21_ds1_S70	4.563873667290841
CFT22_d14_S89	3.278412116597284
CFT23_ds1_S34	3.169180804078458
CFT29_ds1_S72	4.624305182746491
CFT30_ds1_S36	2.7623633649438455
CFT6_d7_S42	3.7946111912924887
CFT9_ds0_S94	4.204803410325801
