ID	axis1	axis2
CNT12_d7_S233	-0.058217279	-0.044584933
CNT13_d14_S268	-0.019493815	-0.108483834
CNT14_d14_S269	0.523470521	0.050310415
CNT17_d7_S238	-0.067796743	-0.05484365
CNT18_ds5_S251	-0.000265263	0.091969665
CNT19_ds5_S239	-0.076855587	0.079603313
CNT21_ds5_S288	-0.064195071	0.079497924
CNT23_ds5_S255	-0.022130628	-0.169220405
CNT25_d14_S279	-0.09258636	0.217576905
CNT28_ds5_S129_	-0.014928013	-0.166554001
CNT29_ds5_S122	-0.027695375	-0.14811512
CNT6_d7_S227	-0.079306388	0.172843719
