# Constructed from biom file
#OTU ID	CNT12_d7_S233	CNT13_d14_S268	CNT14_d14_S269	CNT17_d7_S238	CNT18_ds5_S251	CNT19_ds5_S239	CNT21_ds5_S288	CNT23_ds5_S255	CNT25_d14_S279	CNT28_ds5_S129_	CNT29_ds5_S122	CNT6_d7_S227
a620b4e664cc3491e57f4cf5671de40a	90.0	0.0	0.0	18.0	5.0	14.0	0.0	0.0	3625.0	0.0	0.0	0.0
3d685e82f4ac1df2207eb7c73b17e7f7	14.0	0.0	4364.0	45.0	0.0	0.0	0.0	0.0	121.0	23.0	12.0	0.0
9261d0f0d4a10137f3e56494cb8b2993	378.0	1023.0	46.0	96.0	297.0	317.0	210.0	238.0	25.0	383.0	563.0	394.0
e711db3d799115cf504af3ceb025e93d	271.0	0.0	0.0	414.0	868.0	2060.0	0.0	231.0	0.0	0.0	0.0	2900.0
0a4cfa890c384488a9d8ecae65f0be3b	0.0	0.0	0.0	3.0	1918.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0
5660c5010ff49747b7283f845412a287	89.0	10.0	8.0	120.0	0.0	7.0	30.0	814.0	38.0	55.0	62.0	13.0
128f8615aaec5312a95f671cdeb866da	29.0	308.0	0.0	4.0	0.0	4.0	66.0	0.0	60.0	51.0	58.0	11.0
1efbd647eab9e0559dd255b5145c4747	107.0	1.0	0.0	107.0	6.0	0.0	0.0	666.0	18.0	0.0	119.0	19.0
9acadc636fd7af63903b27f5c257c8ef	61.0	364.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	23.0	0.0
e15a625261206da0692303caeb43a8b8	67.0	356.0	0.0	0.0	0.0	0.0	22.0	0.0	2.0	111.0	52.0	14.0
f5dcd345c3471b95251cfda575951efb	0.0	0.0	0.0	1900.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2947da0b76b9b4c1df9b8a27b41bd30d	3.0	147.0	0.0	12.0	128.0	31.0	0.0	83.0	10.0	0.0	0.0	77.0
757675680c16c4eba93d01a9d0dd99e2	29.0	0.0	0.0	19.0	0.0	0.0	0.0	478.0	6.0	14.0	0.0	0.0
e27ec3bdbd681f79744fc4398777dc41	15.0	0.0	2.0	0.0	0.0	0.0	946.0	0.0	0.0	0.0	0.0	0.0
6689d293144de7a5fbbfcd9e8782eb85	0.0	3.0	0.0	177.0	4.0	7.0	0.0	398.0	10.0	0.0	0.0	11.0
9d0028d928563c1b30e5bf8ee2089870	73.0	1.0	0.0	40.0	38.0	4.0	21.0	318.0	3.0	27.0	42.0	0.0
30aa8159118f00eaf3575c0be8960b54	45.0	119.0	3.0	0.0	13.0	0.0	26.0	10.0	9.0	59.0	97.0	31.0
d544f0cf7c7101f94a2d8ba26e522f1a	0.0	183.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
00ba9baf1298195fe877d1ff2dd911e9	27.0	0.0	0.0	0.0	0.0	0.0	0.0	400.0	0.0	0.0	0.0	0.0
dd943c161fb82544e8a4d65c4eb656c7	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0
030158a9ffaf8776b0e7dc346e717417	51.0	11.0	1.0	11.0	0.0	30.0	0.0	0.0	6.0	224.0	125.0	0.0
a8eb638722c1f4b63221f286d87d81cc	63.0	33.0	1.0	5.0	5.0	17.0	11.0	0.0	4.0	78.0	143.0	47.0
d7ee2af4da4e3115724875c36a28bffc	0.0	152.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cfd70926a4f66b5a1b055de189e1bbcb	37.0	0.0	0.0	4.0	3.0	0.0	0.0	268.0	4.0	16.0	0.0	0.0
014ffb91f6a1e0ff3e142b179151409e	36.0	82.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	134.0	21.0	0.0
6ac3968694f0120b6f64462f7aa93dc3	49.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	22.0	161.0	42.0	0.0
96402a64d7163b8349d1b40e93b1c7dd	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2a184cab0f6c14e75dc31b54493012b4	53.0	5.0	0.0	0.0	18.0	0.0	13.0	0.0	0.0	197.0	62.0	32.0
c7ad8bbf6127a82e410dff643d17bec0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	8.0	49.0	0.0	0.0
fe2fde60f67052cdbda9a39eeebecd49	21.0	23.0	1.0	20.0	4.0	0.0	17.0	0.0	0.0	113.0	64.0	14.0
fcea28aebb0a2cdcdaf82fff5d99c02a	21.0	61.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	32.0	0.0
263d8389c247b0458a11f55c60101e99	0.0	87.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15b208cdadab0782f9be5e0298dd26b8	0.0	72.0	0.0	0.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	0.0
64e4d2269325d4f36fac8c18098cd2ad	0.0	66.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0
fd1f27708130223a91481e08c5318a21	0.0	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dbe18e2fafe7da60ce378ea93a04ff8e	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0909f90e4c117bfc57e9775da3bd36d8	0.0	4.0	0.0	14.0	188.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0
f4b12ac200cb4760280443b35be499aa	0.0	0.0	0.0	0.0	0.0	0.0	353.0	0.0	1.0	0.0	0.0	0.0
5f057fb99115510cebe7670d9b3e2b1a	0.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	0.0	0.0
