ID	calf	treatment	diagnostic	day	Sickness 	Antibiotic
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical
CNT1_d0_S196	C1	H_d0	NoResp	h0	Got	Yes
CNT1_d7_S222	C1	H_d7	NoResp	h7	Got	Yes
CNT1_ds0_S250	C1	S_ds0	RespD	s0	Got	Yes
CNT10_d14_S265	C10	H_d14	NoResp	h14	Never	Yes
CNT10_d7_S231	C10	H_d7	NoResp	h7	Never	Yes
CNT11_d0_S205	C11	H_d0	NoResp	h0	Never	No
CNT11_d14_S266	C11	H_d14	NoResp	h14	Never	No
CNT11_d7_S232	C11	H_d7	NoResp	h7	Never	No
CNT12_d0_S206	C12	H_d0	NoResp	h0	Never	No
CNT12_d14_S267	C12	H_d14	NoResp	h14	Never	No
CNT12_d7_S233	C12	H_d7	NoResp	h7	Never	No
CNT13_d0_S207	C13	H_d0	NoResp	h0	Never	No
CNT13_d14_S268	C13	H_d14	NoResp	h14	Never	No
CNT13_d7_S234	C13	H_d7	NoResp	h7	Never	No
CNT14_d0_S208	C14	H_d0	NoResp	h0	Never	No
CNT14_d14_S269	C14	H_d14	NoResp	h14	Never	No
CNT14_d7_S235	C14	H_d7	NoResp	h7	Never	No
CNT15_d0_S209	C15	H_d0	NoResp	h0	Got	Yes
CNT15_d14_S270	C15	H_d14	NoResp	h14	Got	Yes
CNT15_d7_S236	C15	H_d7	NoResp	h7	Got	Yes
CNT15_ds0_S125	C15	S_ds0	RespD	s0	Got	Yes
CNT15_ds1_S126	C15	S_ds1	RespD	s1	Got	Yes
CNT15_ds10_L_S135	C15	S_ds10	RespD	s10	Got	Yes
CNT15_ds10_R_S136	C15	S_ds10	RespD	s10	Got	Yes
CNT15_ds5_S134	C15	S_ds5	RespD	s5	Got	Yes
CNT16_d14_S271	C16	H_d14	NoResp	h14	Never	Yes
CNT16_d7_S237	C16	H_d7	NoResp	h7	Never	Yes
CNT17_d0_S210	C17	H_d0	NoResp	h0	Never	No
CNT17_d14_S272	C17	H_d14	NoResp	h14	Never	No
CNT17_d7_S238	C17	H_d7	NoResp	h7	Never	No
CNT18_d14_S273	C18	H_d14	NoResp	h14	Got	Yes
CNT18_ds0_S211	C18	S_ds0	RespD	s0	Got	Yes
CNT18_ds1_S216	C18	S_ds1	RespD	s1	Got	Yes
CNT18_ds10_S252	C18	S_ds10	RespD	s10	Got	Yes
CNT18_ds5_S251	C18	S_ds5	RespD	s5	Got	Yes
CNT19_d0_S212	C19	H_d0	NoResp	h0	Got	Yes
CNT19_d14_S274	C19	H_d14	NoResp	h14	Got	Yes
CNT19_ds0_S217	C19	S_ds0	RespD	s0	Got	Yes
CNT19_ds1_S218	C19	S_ds1	RespD	s1	Got	Yes
CNT19_ds10_S287	C19	S_ds10	RespD	s10	Got	Yes
CNT19_ds5_S239	C19	S_ds5	RespD	s5	Got	Yes
CNT2_d0_S197	C2	H_d0	NoResp	h0	Never	No
CNT2_d14_S258	C2	H_d14	NoResp	h14	Never	No
CNT2_d7_S223	C2	H_d7	NoResp	h7	Never	No
CNT20_d0_S213	C20	H_d0	NoResp	h0	Never	No
CNT20_d14_S275	C20	H_d14	NoResp	h14	Never	No
CNT20_d7_S240	C20	H_d7	NoResp	h7	Never	No
CNT21_d7_S241	C21	H_d7	NoResp	h7	Got	Yes
CNT21_ds0_S253	C21	S_ds0	RespD	s0	Got	Yes
CNT21_ds1_S254	C21	S_ds1	RespD	s1	Got	Yes
CNT21_ds10_L_S127	C21	S_ds10	RespD	s10	Got	Yes
CNT21_ds10_R_S128	C21	S_ds10	RespD	s10	Got	Yes
CNT21_ds5_S288	C21	S_ds5	RespD	s5	Got	Yes
CNT22_d0_S214	C22	H_d0	NoResp	h0	Never	No
CNT22_d14_S276	C22	H_d14	NoResp	h14	Never	No
CNT22_d7_S242	C22	H_d7	NoResp	h7	Never	No
CNT23_d14_S277	C23	H_d14	NoResp	h14	Got	Yes
CNT23_ds1_S219	C23	S_ds1	RespD	s1	Got	Yes
CNT23_ds10_S256	C23	S_ds10	RespD	s10	Got	Yes
CNT23_ds5_S255	C23	S_ds5	RespD	s5	Got	Yes
CNT24_d14_S278	C24	H_d14	NoResp	h14	Never	Yes
CNT24_d7_S243	C24	H_d7	NoResp	h7	Never	Yes
CNT25_d14_S279	C25	H_d14	NoResp	h14	Never	No
CNT25_d7_S244	C25	H_d7	NoResp	h7	Never	No
CNT26_d14_S280	C26	H_d14	NoResp	h14	Never	Yes
CNT26_d7_S245	C26	H_d7	NoResp	h7	Never	Yes
CNT27_d14_S281	C27	H_d14	NoResp	h14	Never	Yes
CNT27_d7_S246	C27	H_d7	NoResp	h7	Never	Yes
CNT28_d14_S282	C28	H_d14	NoResp	h14	Got	Yes
CNT28_d7_S247	C28	H_d7	NoResp	h7	Got	Yes
CNT28_ds0_S120	C28	S_ds0	RespD	s0	Got	Yes
CNT28_ds1_S121	C28	S_ds1	RespD	s1	Got	Yes
CNT28_ds10_L_S137	C28	S_ds10	RespD	s10	Got	Yes
CNT28_ds10_R_S138	C28	S_ds10	RespD	s10	Got	Yes
CNT28_ds5_S129_	C28	S_ds5	RespD	s5	Got	Yes
CNT29_d14_S283	C29	H_d14	NoResp	h14	Got	Yes
CNT29_ds0_S248	C29	S_ds0	RespD	s0	Got	Yes
CNT29_ds1_S257	C29	S_ds1	RespD	s1	Got	Yes
CNT29_ds10_L_S130	C29	S_ds10	RespD	s10	Got	Yes
CNT29_ds10_R_S131	C29	S_ds10	RespD	s10	Got	Yes
CNT29_ds5_S122	C29	S_ds5	RespD	s5	Got	Yes
CNT3_d0_S198	C3	H_d0	NoResp	h0	Never	Yes
CNT3_d14_S259	C3	H_d14	NoResp	h14	Never	Yes
CNT3_d7_S224	C3	H_d7	NoResp	h7	Never	Yes
CNT30_d0_S215	C30	H_d0	NoResp	h0	Got	Yes
CNT30_d14_S284	C30	H_d14	NoResp	h14	Got	Yes
CNT30_ds0_S220	C30	S_ds0	RespD	s0	Got	Yes
CNT30_ds1_S221	C30	S_ds1	RespD	s1	Got	Yes
CNT30_ds10_S123	C30	S_ds10	RespD	s10	Got	Yes
CNT30_ds5_S249	C30	S_ds5	RespD	s5	Got	Yes
CNT4_d0_S199	C4	H_d0	NoResp	h0	Never	No
CNT4_d14_S260	C4	H_d14	NoResp	h14	Never	No
CNT4_d7_S225	C4	H_d7	NoResp	h7	Never	No
CNT5_d0_S200	C5	H_d0	NoResp	h0	Never	Yes
CNT5_d14_S261	C5	H_d14	NoResp	h14	Never	Yes
CNT5_d7_S226	C5	H_d7	NoResp	h7	Never	Yes
CNT6_d0_S201	C6	H_d0	NoResp	h0	Never	No
CNT6_d14_S262	C6	H_d14	NoResp	h14	Never	No
CNT6_d7_S227	C6	H_d7	NoResp	h7	Never	No
CNT7_d0_S202	C7	H_d0	NoResp	h0	Never	Yes
CNT7_d14_S263	C7	H_d14	NoResp	h14	Never	Yes
CNT7_d7_S228	C7	H_d7	NoResp	h7	Never	Yes
CNT8_d0_S203	C8	H_d0	NoResp	h0	Never	No
CNT8_d14_S264	C8	H_d14	NoResp	h14	Never	No
CNT8_d7_S229	C8	H_d7	NoResp	h7	Never	No
CNT9_d0_S204	C9	H_d0	NoResp	h0	Got	Yes
CNT9_d7_S230	C9	H_d7	NoResp	h7	Got	Yes
CNT9_ds0_S285	C9	S_ds0	RespD	s0	Got	Yes
CNT9_ds1_S286	C9	S_ds1	RespD	s1	Got	Yes
CNT9_ds10_L_S132	C9	S_ds10	RespD	s10	Got	Yes
CNT9_ds10_R_S133	C9	S_ds10	RespD	s10	Got	Yes
CNT9_ds5_S124	C9	S_ds5	RespD	s5	Got	Yes
