ID	axis1	axis2
CNT1_ds0_S250	-0.175946697	-0.01495561
CNT11_d0_S205	-0.063909769	-0.18673072
CNT12_d7_S233	-0.114592168	-0.035561179
CNT13_d14_S268	0.344929461	0.036518966
CNT14_d14_S269	-0.214055469	0.151642112
CNT15_ds1_S126	0.312532752	0.151890433
CNT17_d7_S238	-0.168115234	0.039724649
CNT18_ds0_S211	-0.121650659	0.041099222
CNT19_ds0_S217	-0.177936986	0.050132977
CNT2_d0_S197	0.066691927	-0.288694397
CNT20_d0_S213	-0.135673577	-0.174816247
CNT21_ds0_S253	-0.152494668	-0.053551503
CNT22_d0_S214	0.207405759	0.250786321
CNT23_ds1_S219	-0.245884598	0.187754386
CNT25_d14_S279	0.274502442	-0.048650374
CNT28_ds0_S120	0.36609217	0.130401364
CNT29_ds0_S248	-0.156026905	-0.026090406
CNT30_ds0_S220	-0.034556787	-0.033268547
CNT6_d7_S227	-0.174226569	0.03587123
CNT9_ds0_S285	0.362915574	-0.213502676
