ID	axis1	axis
CNT1_ds0_S250	0.169985962	-0.060235824
CNT11_d0_S205	-0.003082825	0.102755724
CNT12_d7_S233	-0.130340093	-0.023669723
CNT13_d14_S268	-0.129988953	-0.070492303
CNT14_d14_S269	0.470365843	-0.310655164
CNT15_ds1_S126	-0.171510156	-0.120597023
CNT17_d7_S238	-0.11545645	0.021718878
CNT18_ds0_S211	0.031960446	0.128794781
CNT19_ds0_S217	0.052651047	0.131194392
CNT2_d0_S197	-0.133960881	-0.092909665
CNT20_d0_S213	-0.071952729	0.040762077
CNT21_ds0_S253	0.161297694	0.002832485
CNT22_d0_S214	0.040951084	0.163767683
CNT23_ds1_S219	0.122199122	0.173983508
CNT25_d14_S279	0.118611144	0.097519672
CNT28_ds0_S120	-0.18321636	-0.077713295
CNT29_ds0_S248	-0.094109087	-0.158618747
CNT30_ds0_S220	-0.054370099	0.030318494
CNT6_d7_S227	0.093988877	0.156353705
CNT9_ds0_S285	-0.174023584	-0.135109655
