"","d0_11","d0_13","d0_14","d0_2","d0_20","d0_22","d0_3","d0_4","d0_5","d0_6","d0_7","d0_8","d14_10","d14_11","d14_13","d14_14","d14_16","d14_17","d14_20","d14_22","d14_24","d14_25","d14_26","d14_4","d14_5","d14_6","d14_7","d14_8","d7_10","d7_11","d7_12","d7_13","d7_16","d7_17","d7_2","d7_20","d7_22","d7_24","d7_25","d7_26","d7_27","d7_3","d7_4","d7_5","d7_6","d7_7","d7_8"
"d0_11",0,0.449544869639292,0.534356686275687,0.536590015919747,0.380600422597489,0.630861256826443,0.41577350416102,0.403669327537592,0.368320664868885,0.535943327340141,0.707230563079352,0.511701081038755,0.67871522825504,0.676071665171503,0.579810701834637,0.790146369758792,0.465785803253209,0.632931652824583,0.551626869206379,0.45377170383458,0.510274534669514,0.578034041728224,0.540022873442348,0.54855326703995,0.63142840726246,0.477401183535645,0.736141538350042,0.442253894120965,0.592315849160814,0.495631524866107,0.498530021710276,0.522789877292843,0.576813492308503,0.606097962044434,0.728365890520146,0.521729339945075,0.753735824311349,0.407749147704285,0.491625084325272,0.449015346598068,0.435596778022912,0.601159220886454,0.515705393849641,0.525874303616404,0.537901494910495,0.739596470920969,0.479487340146401
"d0_13",0.449544869639292,0,0.66352296634155,0.633678857825088,0.611674527753531,0.670582556919749,0.619040762056838,0.608516548388156,0.602566971092323,0.639131355422175,0.770933984230301,0.647133735863373,0.660460857896018,0.698387939656195,0.649322049941942,0.833373054330579,0.619242347188245,0.62271663601285,0.425695799376283,0.422740717937893,0.613792755691973,0.351852881068042,0.637625240699743,0.633948232107205,0.705423196394177,0.620069321287966,0.794121871743831,0.55674062413094,0.635567858176574,0.618741481240612,0.609315719853269,0.564724184633629,0.625415319822944,0.699047084208116,0.794369540638582,0.2931628411814,0.711385893516561,0.356661590196996,0.371382868053442,0.500575488455099,0.260672277351344,0.676600624692482,0.649917033728411,0.649218566280833,0.618866104233355,0.803813997786584,0.26847654310006
"d0_14",0.534356686275687,0.66352296634155,0,0.424376956024638,0.483585807081456,0.671990489962613,0.493099308581157,0.50239730203202,0.486116798952867,0.5648929004713,0.750243528055041,0.566167072177355,0.694214586902048,0.684988201733234,0.57780117578657,0.720281185109936,0.475541378801324,0.656019736147467,0.641387491279402,0.619248626051043,0.540842463264984,0.757052153804181,0.529892406581011,0.476578506862287,0.593072927342874,0.525546964038997,0.671169653615562,0.517231810511153,0.638970427801235,0.521834339513473,0.514202283974406,0.595191213800771,0.563326133488857,0.641653724590239,0.615669786326216,0.719928002791871,0.781250440633586,0.63836612111898,0.675331352401831,0.644115730177749,0.647459248814794,0.579816278874195,0.524963955147044,0.521723486875245,0.595108508364978,0.707192586999249,0.673673472832987
"d0_2",0.536590015919747,0.633678857825088,0.424376956024638,0,0.471161162651378,0.650154278583788,0.442286767333046,0.436072558047293,0.437220489043918,0.496155178846951,0.731567594846276,0.522164832214782,0.710152378428575,0.65884308355777,0.544406594104206,0.758107889162649,0.427900578229345,0.610663980991544,0.707651042550152,0.608634807768148,0.520648548588514,0.737987720915508,0.437894375196706,0.504939149754951,0.541128066497292,0.449589655714687,0.712804970515892,0.458716754977848,0.578617124627406,0.432800977974396,0.424673873917997,0.618207520408467,0.515560938011169,0.646004539917687,0.689077609856771,0.719557631028175,0.754644730209949,0.56664293740795,0.622819799509457,0.591823258001491,0.612415756781894,0.567447933157185,0.491765456385619,0.483309397424759,0.550552531359414,0.734217204875078,0.653426023946859
"d0_20",0.380600422597489,0.611674527753531,0.483585807081456,0.471161162651378,0,0.5801215764081,0.283026216061601,0.289534383959431,0.301512337248942,0.479769614656008,0.706268172685095,0.492777228001128,0.727131087836959,0.666275406031679,0.550311418455156,0.773364832859093,0.376201607203935,0.630029267347202,0.725582267297077,0.614181699313159,0.481024034616748,0.757758893769257,0.496653937745264,0.527399266067283,0.567513079386341,0.423105408290663,0.721737846068194,0.469301210960614,0.533774731094821,0.447199741652633,0.453618895409945,0.6131890241247,0.509298626874186,0.580028682133416,0.714323052099298,0.707679719025422,0.76396532006433,0.548120918462795,0.680015898702697,0.629381104312007,0.594909843457093,0.508107366888202,0.427114164024571,0.464734660088299,0.458788576841757,0.716570176213778,0.659917115570574
"d0_22",0.630861256826443,0.670582556919749,0.671990489962613,0.650154278583788,0.5801215764081,0,0.607409840888773,0.603311885585435,0.610543822895716,0.669230316024098,0.799994521057954,0.629905440630262,0.797713880394673,0.672187102145792,0.653243455140232,0.872447093174908,0.640868293962084,0.691958039727964,0.827821593026377,0.723634793931675,0.636727555712073,0.844329324284253,0.655036265690631,0.635366750132689,0.690128420365251,0.605525462963886,0.834156185571186,0.660102060930218,0.586640625725383,0.62601541484584,0.650266355977991,0.71321886768309,0.624349247207757,0.335267558437639,0.831458513465294,0.797847120128775,0.78696079862127,0.707983580189668,0.741074247696856,0.768809606881671,0.745083826975576,0.607096186419988,0.650122504307618,0.668963050046559,0.622497100335717,0.840658696643849,0.77179723436681
"d0_3",0.41577350416102,0.619040762056838,0.493099308581157,0.442286767333046,0.283026216061601,0.607409840888773,0,0.210868625613873,0.214716731854097,0.484732723683949,0.702130392291756,0.483888296205624,0.710307609407557,0.6706832125346,0.545998000484316,0.76097227992988,0.376745533291574,0.631805278705331,0.705091938807188,0.60832586335142,0.464915806782217,0.743194581489141,0.490064415208242,0.513009560730267,0.554832282333229,0.391768826342697,0.71126804396261,0.444689482517915,0.494722381116842,0.447481374012639,0.446833734322303,0.597429901554614,0.508306288862808,0.600526881690416,0.693585974857201,0.700894726912302,0.761757879479626,0.534786911900574,0.668491492740878,0.61940809323909,0.58260814860893,0.485507167201217,0.42682559000124,0.446830077377229,0.466456317609499,0.705610084168066,0.637697985693728
"d0_4",0.403669327537592,0.608516548388156,0.50239730203202,0.436072558047293,0.289534383959431,0.603311885585435,0.210868625613873,0,0.233271445120096,0.435185230455604,0.679298001565639,0.447243996208472,0.719192245729596,0.663497134553908,0.524575666096427,0.775202887039882,0.355450724399947,0.618543147999112,0.723514157577887,0.601135366076036,0.458787669701935,0.737900909996084,0.455506784047406,0.505842323110398,0.567147916940111,0.379000788302024,0.717847099651535,0.438422445770408,0.49590331519879,0.422979950300131,0.439812820385289,0.611705414884908,0.502845336482209,0.581521895384886,0.714280513668762,0.693340012488558,0.755279742050482,0.53377410708692,0.669560755939968,0.630081986877278,0.560353655750132,0.497695292200458,0.395811918248372,0.420206351864033,0.472989576123416,0.702564078302556,0.63564238915156
"d0_5",0.368320664868885,0.602566971092323,0.486116798952867,0.437220489043918,0.301512337248942,0.610543822895716,0.214716731854097,0.233271445120096,0,0.444374628138309,0.695760571977985,0.443308177610827,0.711351752402993,0.654838053888065,0.532235206565198,0.770748063356267,0.363627629134034,0.621444636396613,0.709044542859309,0.597761309433322,0.443857918327637,0.730488887313395,0.466708352380448,0.490396405646433,0.573227067198058,0.372479204120654,0.717520833345588,0.433571730269387,0.501794762133196,0.419562159901045,0.411268815836625,0.593989097681333,0.509927254147163,0.57992031137422,0.705739571110725,0.686577253920713,0.758186415629885,0.53230504587764,0.6609235923103,0.61872061340097,0.568509793442323,0.497186827521306,0.420401519209118,0.44235073261189,0.47883809587988,0.716718067789843,0.627947371975162
"d0_6",0.535943327340141,0.639131355422175,0.5648929004713,0.496155178846951,0.479769614656008,0.669230316024098,0.484732723683949,0.435185230455604,0.444374628138309,0,0.693907296414879,0.491747652842991,0.723196683226411,0.551707196428449,0.537900043231279,0.788882837899929,0.483298320465159,0.639800332304239,0.742370415797473,0.625091512469932,0.43613751010152,0.761087600519365,0.501229555805274,0.507697069106109,0.58702841881329,0.470308983619689,0.748260388807713,0.511802405626478,0.548829133919455,0.469727991383328,0.513078803036622,0.655271760430451,0.53202682888537,0.678971460828448,0.757090018075653,0.729848454985239,0.759261568706657,0.551564302633835,0.667653574214909,0.663398095075332,0.602080861995616,0.570117819589763,0.49810731296279,0.474418326862075,0.543059307548951,0.704967384582434,0.662031760298673
