calf,d0,d7,d14,average,observations
2,0.621997864,0.699308882,,0.660653373,2
3,0.619411333,0.647193303,,0.633302318,2
4,0.524954133,0.598426821,0.553823693,0.559068216,3
5,0.605344079,0.63073322,0.700267053,0.645448117,3
6,0.699415392,0.610365009,0.555406544,0.621728982,3
7,0.651298777,0.608518478,0.711156896,0.656991384,3
8,0.63594944,0.534353132,0.581662598,0.58398839,3
10,,0.605449521,0.557089036,0.581269279,2
11,0.510795017,0.644952507,0.710627515,0.622125013,3
12,,0.588394853,,0.588394853,1
13,0.559893425,0.492321034,0.652998259,0.568404239,3
14,0.639744204,,0.608711247,0.624227725,2
16,,0.703239062,0.549725147,0.626482104,2
17,,0.636183422,0.651493702,0.643838562,2
20,0.539011427,0.541006353,0.662316669,0.580778149,3
22,0.655887874,0.659671746,0.560121035,0.625226885,3
24,,0.552154242,0.572131409,0.562142826,2
25,,0.576899826,0.618414776,0.597657301,2
26,,0.656873988,0.642129735,0.649501862,2
27,,0.538997154,,0.538997154,1
