calf,s0,s1,s5,s10,average,observations
1,0.573360995,,,,0.573360995,1
9,0.644434121,0.586801955,,0.503357925,0.578198,3
15,,0.386781762,0.589774222,0.469255524,0.481937169,3
18,0.670148533,0.609691944,0.750122722,0.622031257,0.662998614,4
19,0.674217801,0.69985994,0.666855927,0.611676429,0.663152524,4
21,0.678857658,0.584834592,0.64431391,0.518386965,0.606598281,4
23,,,0.64768476,0.606491884,0.627088322,2
28,0.416694412,0.405975206,0.435936189,0.584357421,0.460740807,4
29,0.66186094,0.571997562,0.553271586,0.384337038,0.542866782,4
30,0.51530712,0.530582433,0.626427129,0.519840724,0.548039351,4
