calf,d0,d7,d14,average,observations
2,0.371647762,0.571504792,,0.471576277,2
3,0.36921405,0.455442864,,0.412328457,2
4,0.298427238,0.377447958,0.330167074,0.335347423,3
5,0.346225484,0.40336708,0.460433925,0.403342163,3
6,0.409979418,0.396014995,0.320350889,0.375448434,3
7,0.566924847,0.508940672,0.611112299,0.562325939,3
8,0.413530691,0.411161803,0.354711428,0.393134641,3
10,,0.421522705,0.436537288,0.429029997,2
11,0.314845191,0.394150311,0.531608956,0.413534819,3
12,,0.357681355,,0.357681355,1
13,0.376465811,0.340703165,0.425118347,0.380762441,3
14,0.396496515,,0.542212498,0.469354507,2
16,,0.411225882,0.301612107,0.356418994,2
17,,0.533390898,0.463615806,0.498503352,2
20,0.317275755,0.459821192,0.49815847,0.425085139,3
22,0.524993767,0.57244726,0.379010707,0.492150578,3
24,,0.361646807,0.343815373,0.35273109,2
25,,0.415992279,0.555799444,0.485895861,2
26,,0.473023062,0.374107835,0.423565449,2
27,,0.36600846,,0.36600846,1
