calf,s0,s1,s5,s10,average,observations
1,0.385978828,,,,0.385978828,1
9,0.372683368,0.480973213,,0.286636207,0.380097596,3
15,,0.218576808,0.388863168,0.268365147,0.291935041,3
18,0.44703316,0.387682467,0.580729107,0.436304409,0.462937286,4
19,0.533759232,0.493910252,0.392697764,0.385858992,0.45155656,4
21,0.484993811,0.422701817,0.371355877,0.2603592,0.384852676,4
23,,,0.44864354,0.401164358,0.424903949,2
28,0.24228056,0.25774459,0.239224134,0.365528805,0.276194522,4
29,0.425523807,0.39025217,0.292275953,0.202247776,0.327574926,4
30,0.317926931,0.316967708,0.425449104,0.283543927,0.335971918,4
