"","d0_11","d0_13","d0_14","d0_2","d0_20","d0_22","d0_3","d0_4","d0_5","d0_6","d0_7","d0_8","d14_10","d14_11","d14_13","d14_14","d14_16","d14_17","d14_20","d14_22","d14_24","d14_25","d14_26","d14_4","d14_5","d14_6","d14_7","d14_8","d7_10","d7_11","d7_12","d7_13","d7_16","d7_17","d7_2","d7_20","d7_22","d7_24","d7_25","d7_26","d7_27","d7_3","d7_4","d7_5","d7_6","d7_7","d7_8"
"d0_11",0,0.728627450980392,0.84783559247923,0.911705143782908,0.552156862745098,0.808326787117046,0.643921568627451,0.65947430364849,0.602352941176471,0.952941176470588,0.894117647058824,0.836862745098039,0.944313725490196,0.982745098039216,0.940781681800237,0.995294117647059,0.819968553459119,0.912053396152336,0.819607843137255,0.76,0.854731056144484,0.774117647058824,0.910843373493976,0.855516293678838,0.96078431372549,0.820392156862745,0.974901960784314,0.774117647058824,0.890196078431372,0.868235294117647,0.826666666666667,0.786666666666667,0.96,0.807058823529412,0.95843137254902,0.736470588235294,0.970196078431373,0.755294117647059,0.79030350808041,0.787687450670876,0.733333333333333,0.885490196078431,0.833725490196078,0.897254901960784,0.865098039215686,0.992941176470588,0.745098039215686
"d0_13",0.728627450980392,0,0.925796595373199,0.957945814799838,0.86530931871574,0.816470588235294,0.898981989036805,0.90599294947121,0.893500391542678,0.982772122161316,0.923257635082224,0.924823805794832,0.939702427564605,0.96945967110415,0.965313362238865,0.992169146436962,0.921507064364207,0.945119560956488,0.676585747846515,0.733750978856695,0.890239121912975,0.527016444792482,0.959101844426624,0.924735397883183,0.96945967110415,0.93265465935787,0.97337509788567,0.871574001566171,0.891151135473767,0.940485512920908,0.888018794048551,0.772122161315583,0.984338292873923,0.851996867658575,0.985121378230227,0.526233359436179,0.981989036805012,0.642129992169146,0.682014954742228,0.788810086682427,0.56930305403289,0.947533281127643,0.920908379013312,0.964761158966327,0.924823805794832,0.988253719655442,0.517619420516836
"d0_14",0.84783559247923,0.925796595373199,0,0.745701357466063,0.86905281536447,0.919545255793616,0.881274552597119,0.863755458515284,0.857704059362724,0.935399388913138,0.94063727629856,0.903099083369708,0.986905281536447,0.959842863378437,0.843447669305189,0.989524225229158,0.854704595185996,0.938811188811189,0.981667394151026,0.924923614142296,0.909965034965035,0.950240069838499,0.898700134468848,0.854020979020979,0.952859013531209,0.896988214753383,0.965080750763859,0.896988214753383,0.953731994762113,0.87167175905718,0.857704059362724,0.931034482758621,0.972064600611087,0.890004364906155,0.977302487996508,0.946748144914884,0.984286337843736,0.949367088607595,0.936786654960492,0.936703296703297,0.934526407682235,0.951113051069402,0.881274552597119,0.870798777826277,0.933653426451331,0.986032300305543,0.930161501527717
"d0_2",0.911705143782908,0.957945814799838,0.745701357466063,0,0.892438334007279,0.93600648035642,0.857662757784068,0.837378640776699,0.873837444399515,0.911847957945815,0.924787707238172,0.877072381722604,0.970076829761423,0.935301253538213,0.844462540716612,0.970885564092196,0.823267126064045,0.91417004048583,0.978972907399919,0.91346542660736,0.859919028340081,0.914274160938132,0.79361790302528,0.880971659919028,0.944197331176708,0.847149211484027,0.968459361099879,0.835018196522442,0.918317832591994,0.772745653052972,0.769510715729883,0.93772745653053,0.959563283461383,0.9239789729074,0.966033158107562,0.952284674484432,0.965224423776789,0.888394662353417,0.863414634146341,0.881969881969882,0.911039223615042,0.931257581884351,0.881116053376466,0.852810351799434,0.895673271330368,0.97250303275374,0.924787707238172
"d0_20",0.552156862745098,0.86530931871574,0.86905281536447,0.892438334007279,0,0.797647058823529,0.555207517619421,0.587152369761065,0.581832419733751,0.947533281127643,0.891151135473767,0.851213782302271,0.995301487862177,0.977290524667189,0.932203389830508,0.994518402505873,0.791208791208791,0.905919247353979,0.978856695379796,0.91229444009397,0.898079184633477,0.935003915426782,0.908580593424218,0.899647197177577,0.950665622552858,0.821456538762725,0.97337509788567,0.868441660140955,0.889584964761159,0.848081440877056,0.822239624119029,0.888801879404855,0.949099451840251,0.840250587314017,0.956930305403289,0.898198903680501,0.962411902897416,0.877055599060298,0.950413223140496,0.955082742316785,0.869224745497259,0.845732184808144,0.793265465935787,0.87548942834769,0.81832419733751,0.991386061080658,0.906812842599843
"d0_22",0.808326787117046,0.816470588235294,0.919545255793616,0.93600648035642,0.797647058823529,0,0.834509803921569,0.846214201647705,0.822745098039216,0.974901960784314,0.92156862745098,0.88078431372549,0.997647058823529,0.922352941176471,0.945519147256218,0.996862745098039,0.900943396226415,0.959952885747939,0.986666666666667,0.951372549019608,0.893207695327837,0.971764705882353,0.934136546184739,0.873576756968983,0.948235294117647,0.837647058823529,0.981960784313725,0.937254901960784,0.875294117647059,0.884705882352941,0.909019607843137,0.912156862745098,0.953725490196078,0.436078431372549,0.982745098039216,0.940392156862745,0.985882352941176,0.930980392156863,0.975561687031927,0.96921862667719,0.95843137254902,0.943529411764706,0.892549019607843,0.945882352941177,0.885490196078431,0.996078431372549,0.947450980392157
"d0_3",0.643921568627451,0.898981989036805,0.881274552597119,0.857662757784068,0.555207517619421,0.834509803921569,0,0.403055229142186,0.391542678151919,0.941268598277212,0.898198903680501,0.808927173061864,0.996867658574785,0.972592012529366,0.904611746156878,0.996867658574785,0.744897959183674,0.891807134457076,0.978856695379796,0.911511354737666,0.880047040376323,0.911511354737666,0.889334402566159,0.883183065464524,0.954581049334377,0.758809710258418,0.985904463586531,0.781519185591229,0.850430696945967,0.829287392325764,0.803445575567737,0.892717306186374,0.948316366483947,0.837901331245106,0.963978073610024,0.891151135473767,0.966327329678935,0.86530931871574,0.937819756001574,0.934594168636722,0.876272513703994,0.746280344557557,0.775254502740799,0.82850430696946,0.824588880187941,0.992952231793265,0.867658574784652
"d0_4",0.65947430364849,0.90599294947121,0.863755458515284,0.837378640776699,0.587152369761065,0.846214201647705,0.403055229142186,0,0.482961222091657,0.898159028593811,0.893458676067372,0.768899334116725,0.993732863298081,0.977281629455543,0.899842271293375,0.99686643164904,0.733019238319592,0.897254901960784,0.979631805718762,0.903642773207991,0.883921568627451,0.90520955738347,0.870838347372643,0.88156862745098,0.946729338033686,0.757931844888367,0.973364669016843,0.795534665099882,0.858206032119076,0.799451625538582,0.791617704661183,0.883274578926753,0.943595769682726,0.825303564433999,0.956130043086565,0.882491186839013,0.960830395613004,0.874657265961614,0.94251968503937,0.936145053212456,0.847238542890717,0.783783783783784,0.779083431257344,0.831570701135919,0.835487661574618,0.992949471210341,0.874657265961614
"d0_5",0.602352941176471,0.893500391542678,0.857704059362724,0.873837444399515,0.581832419733751,0.822745098039216,0.391542678151919,0.482961222091657,0,0.938919342208301,0.89193422083007,0.805794831636648,0.996084573218481,0.981989036805012,0.927473393772172,0.993735317149569,0.754317111459969,0.901215209721678,0.9796397807361,0.91229444009397,0.881615052920423,0.921691464369616,0.894947874899759,0.858878871030968,0.960845732184808,0.79796397807361,0.976507439310885,0.814408770555991,0.870007830853563,0.826938136256852,0.819890368050118,0.862176977290525,0.961628817541112,0.819107282693814,0.956147220046985,0.889584964761159,0.96319498825372,0.892717306186374,0.936245572609209,0.93538219070134,0.883320281910728,0.784651527016445,0.779953014878622,0.863743148003132,0.846515270164448,0.993735317149569,0.877055599060298
"d0_6",0.952941176470588,0.982772122161316,0.935399388913138,0.911847957945815,0.947533281127643,0.974901960784314,0.941268598277212,0.898159028593811,0.938919342208301,0,0.970242756460454,0.855912294440094,0.995301487862177,0.917776037588097,0.953488372093023,0.998433829287392,0.934850863422292,0.964719717757742,0.988253719655442,0.962411902897416,0.90905527244218,0.971808927173062,0.947072975140337,0.913759310074481,0.965544244322631,0.945967110415035,0.994518402505873,0.947533281127643,0.971025841816758,0.908379013312451,0.917776037588097,0.980422866092404,0.990602975724354,0.975724353954581,0.987470634299139,0.967110415035239,0.984338292873923,0.960062646828504,0.957497048406139,0.965327029156816,0.953797963978074,0.965544244322631,0.960845732184808,0.964761158966327,0.956147220046985,0.998433829287392,0.963978073610024
