Genus,effect,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,genus,sigASV,test
ASV191,fixed,d1,2.945345232,0.50934,5.782670185,7.35E-09,7.35E-09,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1,Prevotella 1,Genus
ASV211,fixed,d1,-1.860359829,0.70507,-2.638546285,0.008326233,0.008326233,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides,Genus
ASV386,fixed,d1,-2.33759851,0.95537,-2.446799156,0.014413113,0.014413113,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,Globicatella,Genus
ASV408,fixed,d1,-1.34716714,0.578,-2.330738996,0.019767127,0.019767127,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Clostridium sensu stricto 1,Genus
ASV440,fixed,d1,-1.573238989,0.72875,-2.15881851,0.03086425,0.03086425,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] nodatum group,Firmicutes,Clostridia,Clostridiales,Family XIII,[Eubacterium] nodatum group,Eubacterium nodatum group,Genus
ASV460,fixed,d1,-1.245754108,0.47465,-2.624574124,0.008675741,0.008675741,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae,Lachnospiraceae,Genus
ASV484,fixed,d1,-1.773064922,0.5869,-3.021068192,0.002518846,0.002518846,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,[Ruminococcus] torques group,Ruminococcus torques group,Genus
ASV556,fixed,d1,-2.243674011,0.40269,-5.571715243,2.52E-08,2.52E-08,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,Phascolarctobacterium,Genus
ASV568,fixed,d1,2.063126919,0.73062,2.82380296,0.004745755,0.004745755,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonellaceae,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonellaceae,Veillonellaceae,Genus
ASV838,fixed,d1,4.425531211,0.5892,7.51108488,5.86E-14,5.86E-14,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus,Genus
ASV1374,fixed,d1,4.425531211,0.5892,7.51108488,5.86E-14,5.86E-14,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Histophilus;Histophilus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Histophilus,Histophilus,Species
ASV223,fixed,d1,3.087863509,0.60419,5.110749117,3.21E-07,3.21E-07,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides fragilis,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,Species
ASV618,fixed,d1,-3.260192963,0.54406,-5.99234085,2.07E-09,2.07E-09,P-Value < 0.05,Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus sciuri,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus sciuri,Species
ASV692,fixed,d1,-1.467828121,0.63805,-2.300490747,0.021420433,0.021420433,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Clostridium sensu stricto 1,Species
