ASV,effect,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,genus,tax
ASV172,fixed,d5,1.909885594,0.64456,2.963084265,0.003045732,0.003045732,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonomonadaceae,Proteiniphilum,d0 vs d5
ASV175,fixed,d5,2.427851423,0.69245,3.506175786,0.000454595,0.000454595,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Butyricimonas,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Butyricimonas,d0 vs d5
ASV191,fixed,d5,1.564078761,0.62983,2.483334807,0.013015869,0.013015869,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1,d0 vs d5
ASV257,fixed,d5,1.990994647,0.52566,3.787609191,0.000152104,0.000152104,P-Value < 0.05,Bacteroidetes;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,d0 vs d5
ASV386,fixed,d5,-1.624488427,0.64853,-2.504877842,0.012249369,0.012249369,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,d0 vs d5
ASV392,fixed,d5,1.490471766,0.61368,2.428744241,0.015151216,0.015151216,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Jeotgalibaca,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,d0 vs d5
ASV460,fixed,d5,-0.942062037,0.44895,-2.098367384,0.035872704,0.035872704,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae,d0 vs d5
ASV495,fixed,d5,1.490034069,0.61193,2.434974701,0.014892831,0.014892831,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,d0 vs d5
ASV556,fixed,d5,-1.307869773,0.50202,-2.60521448,0.009181676,0.009181676,P-Value < 0.05,Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Phascolarctobacterium,Firmicutes,Negativicutes,Selenomonadales,Acidaminococcaceae,Phascolarctobacterium,d0 vs d5
ASV681,fixed,d5,-1.285620184,0.64612,-1.989754509,0.046617985,0.046617985,P-Value < 0.05,Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,d0 vs d5
ASV833,fixed,d5,1.830967015,0.86359,2.12018089,0.033990793,0.033990793,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Actinobacillus,d0 vs d5
ASV885,fixed,d5,1.859956196,0.66679,2.789418251,0.005280282,0.005280282,P-Value < 0.05,Tenericutes;Mollicutes;Mollicutes RF39;uncultured bacterium;uncultured bacterium,Tenericutes,Mollicutes,Mollicutes RF39,uncultured bacterium,uncultured bacterium,d0 vs d5
ASV191,fixed,d1,2.945345232,0.50934,5.782670185,7.35E-09,7.35E-09,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1,d0 vs d1
ASV211,fixed,d1,-1.860359829,0.70507,-2.638546285,0.008326233,0.008326233,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,d0 vs d1
ASV386,fixed,d1,-2.33759851,0.95537,-2.446799156,0.014413113,0.014413113,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,d0 vs d1
ASV408,fixed,d1,-1.34716714,0.578,-2.330738996,0.019767127,0.019767127,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,d0 vs d1
