ASV,effect,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,genus,tax
ASV188,fixed,d1,2.146150535,0.82729,2.594193735,0.009481304,0.009481304,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,d0 vs d1
ASV189,fixed,d1,2.529697462,0.90961,2.781079212,0.005417852,0.005417852,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,d0 vs d1
ASV408,fixed,d1,1.554193325,0.73905,2.102960997,0.035469179,0.035469179,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,d0 vs d1
ASV446,fixed,d1,1.572546259,0.72541,2.167803393,0.030173649,0.030173649,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Blautia,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,d0 vs d1
ASV484,fixed,d1,2.360892429,0.8753,2.697238008,0.006991728,0.006991728,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus torques group,d0 vs d1
ASV499,fixed,d1,1.530607007,0.62853,2.435217105,0.014882857,0.014882857,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Butyricicoccus,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Butyricicoccus,d0 vs d1
ASV849,fixed,d1,-4.902916297,0.59758,-8.204619125,2.31E-16,4.63E-16,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,d0 vs d1
ASV890,fixed,d1,1.416375231,0.48671,2.910100945,0.00361312,0.00361312,P-Value < 0.05,Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae;Mycoplasma,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,d0 vs d1
ASV206,fixed,d5,3.660269728,0.90006,4.066695251,4.77E-05,4.77E-05,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,d0 vs d5
ASV225,fixed,d5,2.100603623,0.9749,2.154686247,0.031186395,0.031186395,P-Value < 0.05,Bacteroidetes;Bacteroidia;Chitinophagales;Chitinophagaceae;Sediminibacterium,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Sediminibacterium,d0 vs d5
ASV377,fixed,d5,1.606324855,0.72797,2.206581116,0.027343337,0.027343337,P-Value < 0.05,Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,d0 vs d5
ASV405,fixed,d5,0.569107574,0.25366,2.243584221,0.024859165,0.024859165,P-Value < 0.05,Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,d0 vs d5
ASV484,fixed,d5,3.74415595,0.83074,4.507012965,6.57E-06,6.57E-06,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] torques group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus torques group,d0 vs d5
ASV503,fixed,d5,2.432857092,0.63897,3.807466848,0.000140398,0.000140398,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Faecalibacterium,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,d0 vs d5
ASV681,fixed,d5,1.848862919,0.86404,2.139788574,0.032371857,0.032371857,P-Value < 0.05,Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,d0 vs d5
ASV849,fixed,d5,-4.448192367,0.50012,-8.894250114,5.88E-19,1.18E-18,P-Value < 0.05,Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,d0 vs d5
ASV897,fixed,d5,2.285605702,0.96041,2.37982289,0.017320961,0.017320961,P-Value < 0.05,Unassigned;Unassigned;Unassigned;Unassigned;Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,d0 vs d5
ASV163,fixed,d10,-1.086905645,0.21322,-5.097578299,3.44E-07,3.44E-07,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,d0 vs d10
ASV189,fixed,d10,2.050227007,0.928,2.209296343,0.027154035,0.027154035,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,d0 vs d10
ASV364,fixed,d10,1.545268188,0.53544,2.885978239,0.003901991,0.003901991,P-Value < 0.05,Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,d0 vs d10
ASV408,fixed,d10,1.685046784,0.67988,2.47844735,0.013195558,0.013195558,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,d0 vs d10
