"","ID","calf","diagnostic","day","Sickness","Antibiotic","sample","d","Species","RA","RelAbund","comparison"
"1","d0_2","2","NoResp","h0","Never","No","d0_2","0","ASV1374",0,0,"d0"
"2","d0_2","2","NoResp","h0","Never","No","d0_2","0","ASV1375",0,0,"d0"
"3","d0_2","2","NoResp","h0","Never","No","d0_2","0","ASV1377",0,0,"d0"
"4","d0_2","2","NoResp","h0","Never","No","d0_2","0","ASV1472",0,0,"d0"
"5","d0_3","3","NoResp","h0","Never","Yes","d0_3","0","ASV1374",0,0,"d0"
"6","d0_3","3","NoResp","h0","Never","Yes","d0_3","0","ASV1375",0,0,"d0"
"7","d0_3","3","NoResp","h0","Never","Yes","d0_3","0","ASV1377",0,0,"d0"
"8","d0_3","3","NoResp","h0","Never","Yes","d0_3","0","ASV1472",0,0,"d0"
"9","d0_4","4","NoResp","h0","Never","No","d0_4","0","ASV1374",0,0,"d0"
"10","d0_4","4","NoResp","h0","Never","No","d0_4","0","ASV1375",0.00165654334621756,0.165654334621756,"d0"
"11","d0_4","4","NoResp","h0","Never","No","d0_4","0","ASV1377",0,0,"d0"
"12","d0_4","4","NoResp","h0","Never","No","d0_4","0","ASV1472",0,0,"d0"
"13","d0_5","5","NoResp","h0","Never","Yes","d0_5","0","ASV1374",0,0,"d0"
"14","d0_5","5","NoResp","h0","Never","Yes","d0_5","0","ASV1375",0.00544959128065395,0.544959128065395,"d0"
"15","d0_5","5","NoResp","h0","Never","Yes","d0_5","0","ASV1377",0,0,"d0"
"16","d0_5","5","NoResp","h0","Never","Yes","d0_5","0","ASV1472",0,0,"d0"
"17","d0_6","6","NoResp","h0","Never","No","d0_6","0","ASV1374",0,0,"d0"
"18","d0_6","6","NoResp","h0","Never","No","d0_6","0","ASV1375",0,0,"d0"
"19","d0_6","6","NoResp","h0","Never","No","d0_6","0","ASV1377",0,0,"d0"
"20","d0_6","6","NoResp","h0","Never","No","d0_6","0","ASV1472",0,0,"d0"
"21","d0_7","7","NoResp","h0","Never","Yes","d0_7","0","ASV1374",0,0,"d0"
"22","d0_7","7","NoResp","h0","Never","Yes","d0_7","0","ASV1375",0,0,"d0"
"23","d0_7","7","NoResp","h0","Never","Yes","d0_7","0","ASV1377",0,0,"d0"
"24","d0_7","7","NoResp","h0","Never","Yes","d0_7","0","ASV1472",0,0,"d0"
"25","d0_8","8","NoResp","h0","Never","No","d0_8","0","ASV1374",0,0,"d0"
"26","d0_8","8","NoResp","h0","Never","No","d0_8","0","ASV1375",0,0,"d0"
"27","d0_8","8","NoResp","h0","Never","No","d0_8","0","ASV1377",0,0,"d0"
"28","d0_8","8","NoResp","h0","Never","No","d0_8","0","ASV1472",0,0,"d0"
"29","d0_11","11","NoResp","h0","Never","No","d0_11","0","ASV1374",0,0,"d0"
"30","d0_11","11","NoResp","h0","Never","No","d0_11","0","ASV1375",0.00061576354679803,0.061576354679803,"d0"
"31","d0_11","11","NoResp","h0","Never","No","d0_11","0","ASV1377",0,0,"d0"
"32","d0_11","11","NoResp","h0","Never","No","d0_11","0","ASV1472",0,0,"d0"
"33","d0_12","12","NoResp","h0","Never","No","d0_12","0","ASV1374",0,0,"d0"
"34","d0_12","12","NoResp","h0","Never","No","d0_12","0","ASV1375",0,0,"d0"
"35","d0_12","12","NoResp","h0","Never","No","d0_12","0","ASV1377",0,0,"d0"
"36","d0_12","12","NoResp","h0","Never","No","d0_12","0","ASV1472",0,0,"d0"
"37","d0_13","13","NoResp","h0","Never","No","d0_13","0","ASV1374",0,0,"d0"
"38","d0_13","13","NoResp","h0","Never","No","d0_13","0","ASV1375",0,0,"d0"
"39","d0_13","13","NoResp","h0","Never","No","d0_13","0","ASV1377",0,0,"d0"
"40","d0_13","13","NoResp","h0","Never","No","d0_13","0","ASV1472",0,0,"d0"
"41","d0_14","14","NoResp","h0","Never","No","d0_14","0","ASV1374",0,0,"d0"
"42","d0_14","14","NoResp","h0","Never","No","d0_14","0","ASV1375",0.0122866894197952,1.22866894197952,"d0"
"43","d0_14","14","NoResp","h0","Never","No","d0_14","0","ASV1377",0,0,"d0"
"44","d0_14","14","NoResp","h0","Never","No","d0_14","0","ASV1472",0,0,"d0"
"45","d0_20","20","NoResp","h0","Never","No","d0_20","0","ASV1374",0,0,"d0"
"46","d0_20","20","NoResp","h0","Never","No","d0_20","0","ASV1375",0.00344234079173838,0.344234079173838,"d0"
"47","d0_20","20","NoResp","h0","Never","No","d0_20","0","ASV1377",0,0,"d0"
