Genus,term,estimate,std.error,statistic,p.value,p.adj,sig,ASVstring,col1,col2,col3,col4,genus
ASV479,d,-0.184150749,0.05351,-3.441426813,0.000578655,0.000578655,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Eubacterium] hallii group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium hallii group
ASV483,d,-0.053608894,0.026309,-2.037663678,0.041583579,0.041583579,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;[Ruminococcus] gnavus group,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus gnavus group
ASV718,d,-0.21124734,0.054517,-3.874889292,0.000106673,0.000106673,P-Value < 0.05,Proteobacteria;Deltaproteobacteria;Myxococcales;Archangiaceae;Anaeromyxobacter,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter
ASV168,d,-0.524579481,0.10532,-4.980815431,6.33E-07,1.27E-06,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella
ASV40,d,-0.064542865,0.022984,-2.808165022,0.004982469,0.004982469,P-Value < 0.05,Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium
ASV541,d,0.229648885,0.038535,5.959488378,2.53E-09,2.53E-09,P-Value < 0.05,Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelatoclostridium
ASV654,d,0.300848123,0.063495,4.738138806,2.16E-06,2.16E-06,P-Value < 0.05,Proteobacteria;Alphaproteobacteria;Rhizobiales;Hyphomicrobiaceae;Pedomicrobium,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium
ASV191,d,0.115339321,0.056453,2.04310348,0.041042195,0.041042195,P-Value < 0.05,Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella 1,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella 1
ASV525,d,-0.096863244,0.042439,-2.282411088,0.022465081,0.022465081,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG-005,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-005
ASV496,d,-0.15579823,0.046795,-3.329377716,0.000870403,0.000870403,P-Value < 0.05,Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Terrisporobacter,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Terrisporobacter
ASV583,d,0.249925374,0.045828,5.453551843,4.94E-08,4.94E-08,P-Value < 0.05,Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured bacterium;uncultured bacterium,Kiritimatiellaeota,Kiritimatiellae,WCHB1-41,uncultured bacterium,WCHB1-41*
