"","calf","d","sample","Species","RA","RelAbund","comparison"
"1","9",0,"ds0_9","ASV1374",0,0,"d0 vs d1"
"2","9",0,"ds0_9","ASV1375",0,0,"d0 vs d1"
"3","9",0,"ds0_9","ASV1377",0,0,"d0 vs d1"
"4","9",0,"ds0_9","ASV1472",0,0,"d0 vs d1"
"5","9",1,"ds1_9","ASV1374",0.335812964930925,33.5812964930925,"d0 vs d1"
"6","9",1,"ds1_9","ASV1375",0,0,"d0 vs d1"
"7","9",1,"ds1_9","ASV1377",0,0,"d0 vs d1"
"8","9",1,"ds1_9","ASV1472",0,0,"d0 vs d1"
"9","18",0,"ds0_18","ASV1374",0,0,"d0 vs d1"
"10","18",0,"ds0_18","ASV1375",0.00522193211488251,0.522193211488251,"d0 vs d1"
"11","18",0,"ds0_18","ASV1377",0,0,"d0 vs d1"
"12","18",0,"ds0_18","ASV1472",0,0,"d0 vs d1"
"13","18",1,"ds1_18","ASV1374",0,0,"d0 vs d1"
"14","18",1,"ds1_18","ASV1375",0.0945337620578778,9.45337620578778,"d0 vs d1"
"15","18",1,"ds1_18","ASV1377",0,0,"d0 vs d1"
"16","18",1,"ds1_18","ASV1472",0,0,"d0 vs d1"
"17","21",0,"ds0_21","ASV1374",0,0,"d0 vs d1"
"18","21",0,"ds0_21","ASV1375",0.33209549071618,33.209549071618,"d0 vs d1"
"19","21",0,"ds0_21","ASV1377",0,0,"d0 vs d1"
"20","21",0,"ds0_21","ASV1472",0,0,"d0 vs d1"
"21","21",1,"ds1_21","ASV1374",0,0,"d0 vs d1"
"22","21",1,"ds1_21","ASV1375",0,0,"d0 vs d1"
"23","21",1,"ds1_21","ASV1377",0,0,"d0 vs d1"
"24","21",1,"ds1_21","ASV1472",0,0,"d0 vs d1"
"25","23",1,"ds1_23","ASV1374",0,0,"d0 vs d1"
"26","23",1,"ds1_23","ASV1375",0,0,"d0 vs d1"
"27","23",1,"ds1_23","ASV1377",0,0,"d0 vs d1"
"28","23",1,"ds1_23","ASV1472",0,0,"d0 vs d1"
"29","28",0,"ds0_28","ASV1374",0,0,"d0 vs d1"
"30","28",0,"ds0_28","ASV1375",0,0,"d0 vs d1"
"31","28",0,"ds0_28","ASV1377",0.00177725118483412,0.177725118483412,"d0 vs d1"
"32","28",0,"ds0_28","ASV1472",0,0,"d0 vs d1"
"33","28",1,"ds1_28","ASV1374",0,0,"d0 vs d1"
"34","28",1,"ds1_28","ASV1375",0,0,"d0 vs d1"
"35","28",1,"ds1_28","ASV1377",0,0,"d0 vs d1"
"36","28",1,"ds1_28","ASV1472",0,0,"d0 vs d1"
"37","29",0,"ds0_29","ASV1374",0.00484913793103448,0.484913793103448,"d0 vs d1"
"38","29",0,"ds0_29","ASV1375",0,0,"d0 vs d1"
"39","29",0,"ds0_29","ASV1377",0,0,"d0 vs d1"
"40","29",0,"ds0_29","ASV1472",0,0,"d0 vs d1"
"41","29",1,"ds1_29","ASV1374",0,0,"d0 vs d1"
"42","29",1,"ds1_29","ASV1375",0.00164654226125137,0.164654226125137,"d0 vs d1"
"43","29",1,"ds1_29","ASV1377",0,0,"d0 vs d1"
"44","29",1,"ds1_29","ASV1472",0,0,"d0 vs d1"
"45","9",0,"ds0_9","ASV1374",0,0,"d0 vs d5"
"46","9",0,"ds0_9","ASV1375",0,0,"d0 vs d5"
"47","9",0,"ds0_9","ASV1377",0,0,"d0 vs d5"
"48","9",0,"ds0_9","ASV1472",0,0,"d0 vs d5"
"49","18",0,"ds0_18","ASV1374",0,0,"d0 vs d5"
"50","18",0,"ds0_18","ASV1375",0.00522193211488251,0.522193211488251,"d0 vs d5"
"51","18",0,"ds0_18","ASV1377",0,0,"d0 vs d5"
"52","18",0,"ds0_18","ASV1472",0,0,"d0 vs d5"
"53","18",5,"ds5_18","ASV1374",0,0,"d0 vs d5"
"54","18",5,"ds5_18","ASV1375",0,0,"d0 vs d5"
"55","18",5,"ds5_18","ASV1377",0,0,"d0 vs d5"
"56","18",5,"ds5_18","ASV1472",0,0,"d0 vs d5"
"57","21",0,"ds0_21","ASV1374",0,0,"d0 vs d5"
"58","21",0,"ds0_21","ASV1375",0.33209549071618,33.209549071618,"d0 vs d5"
"59","21",0,"ds0_21","ASV1377",0,0,"d0 vs d5"
"60","21",0,"ds0_21","ASV1472",0,0,"d0 vs d5"
"61","21",5,"ds5_21","ASV1374",0.00111049416990561,0.111049416990561,"d0 vs d5"
"62","21",5,"ds5_21","ASV1375",0,0,"d0 vs d5"
"63","21",5,"ds5_21","ASV1377",0,0,"d0 vs d5"
"64","21",5,"ds5_21","ASV1472",0,0,"d0 vs d5"
"65","23",5,"ds5_23","ASV1374",0,0,"d0 vs d5"
"66","23",5,"ds5_23","ASV1375",0,0,"d0 vs d5"
"67","23",5,"ds5_23","ASV1377",0,0,"d0 vs d5"
"68","23",5,"ds5_23","ASV1472",0,0,"d0 vs d5"
"69","28",0,"ds0_28","ASV1374",0,0,"d0 vs d5"
"70","28",0,"ds0_28","ASV1375",0,0,"d0 vs d5"
"71","28",0,"ds0_28","ASV1377",0.00177725118483412,0.177725118483412,"d0 vs d5"
"72","28",0,"ds0_28","ASV1472",0,0,"d0 vs d5"
"73","28",5,"ds5_28","ASV1374",0,0,"d0 vs d5"
"74","28",5,"ds5_28","ASV1375",0,0,"d0 vs d5"
"75","28",5,"ds5_28","ASV1377",0.00286697247706422,0.286697247706422,"d0 vs d5"
"76","28",5,"ds5_28","ASV1472",0,0,"d0 vs d5"
"77","29",0,"ds0_29","ASV1374",0.00484913793103448,0.484913793103448,"d0 vs d5"
"78","29",0,"ds0_29","ASV1375",0,0,"d0 vs d5"
"79","29",0,"ds0_29","ASV1377",0,0,"d0 vs d5"
"80","29",0,"ds0_29","ASV1472",0,0,"d0 vs d5"
