calf	treatment	diagnostic	day	Sickness 	Antibiotic	ID	ID2	d	antibiotic	observed_otus	shannon	pielou_e	faith_pd
1	CON	RespD	s0	Got	No	1_ds0	ds0_1	0	NA	108	4.184990795	0.619550036	10.37639293
9	SCFP	RespD	s0	Got	No	9_ds0	ds0_9	0	Draxxin	171	6.736738595	0.908179097	17.317843
9	SCFP	RespD	s1	Got	Yes	9_ds1	ds1_9	1	Draxxin	69	1.859400351	0.304394353	10.0219636
9	SCFP	RespD	s10	Got	Yes	9_ds10	ds10_9	10	Draxxin	176	6.26888699	0.840397407	14.97818719
15	CON	RespD	s1	Got	Yes	15_ds1	ds1_15	1	Nuflur	98	5.998304817	0.906812991	8.713427173
15	CON	RespD	s5	Got	Yes	15_ds5	ds5_15	5	Nuflur	102	5.920627942	0.887327717	8.452874964
15	CON	RespD	s10	Got	Yes	15_ds10	ds10_15	10	Nuflur	91	5.772350085	0.886990202	8.108986899
18	CON	RespD	s0	Got	No	18_ds0	ds0_18	0	Draxxin	82	4.806637871	0.75605168	9.191788177
18	CON	RespD	s1	Got	Yes	18_ds1	ds1_18	1	Draxxin	116	4.756731992	0.693605304	12.93413265
18	CON	RespD	s5	Got	Yes	18_ds5	ds5_18	5	Draxxin	68	3.292014836	0.540786026	8.813646776
18	CON	RespD	s10	Got	Yes	18_ds10	ds10_18	10	Draxxin	94	4.493439134	0.68554096	10.35901396
19	CON	RespD	s0	Got	No	19_ds0	ds0_19	0	Nuflur	68	3.126533804	0.513602117	7.200231587
19	CON	RespD	s1	Got	Yes	19_ds1	ds1_19	1	Nuflur	42	2.868823327	0.532020484	8.051494481
19	CON	RespD	s5	Got	Yes	19_ds5	ds5_19	5	Nuflur	70	5.393259723	0.879916902	9.633755775
19	CON	RespD	s10	Got	Yes	19_ds10	ds10_19	10	Nuflur	130	5.034371661	0.716905152	12.76078971
21	SCFP	RespD	s0	Got	No	21_ds0	ds0_21	0	Draxxin	96	3.485778766	0.529354384	10.19167381
21	SCFP	RespD	s1	Got	Yes	21_ds1	ds1_21	1	Draxxin	57	3.125778218	0.535888421	9.835896
21	SCFP	RespD	s5	Got	Yes	21_ds5	ds5_21	5	Draxxin	136	5.681093109	0.801569368	16.22097144
21	SCFP	RespD	s10	Got	Yes	21_ds10	ds10_21	10	Draxxin	179	6.629323082	0.885821255	12.58967756
23	CON	RespD	s1	Got	Yes	23_ds1	ds1_23	1	Draxxin	30	2.885645711	0.588080304	5.319170721
23	CON	RespD	s5	Got	Yes	23_ds5	ds5_23	5	Draxxin	46	3.751951198	0.679262988	5.621079949
23	CON	RespD	s10	Got	Yes	23_ds10	ds10_23	10	Draxxin	119	4.577220928	0.663863946	10.20140873
28	SCFP	RespD	s0	Got	No	28_ds0	ds0_28	0	Draxxin	102	5.836393329	0.874703429	10.4566064
28	SCFP	RespD	s1	Got	Yes	28_ds1	ds1_28	1	Draxxin	100	5.864638924	0.882716115	8.53703638
28	SCFP	RespD	s5	Got	Yes	28_ds5	ds5_28	5	Draxxin	141	6.393375226	0.895486973	11.21687338
28	SCFP	RespD	s10	Got	Yes	28_ds10	ds10_28	10	Draxxin	87	5.782919824	0.897558675	8.259460243
29	CON	RespD	s0	Got	No	29_ds0	ds0_29	0	Draxxin	99	4.840901473	0.730221913	11.72378703
29	CON	RespD	s1	Got	Yes	29_ds1	ds1_29	1	Draxxin	137	4.593298607	0.64712283	13.24085149
29	CON	RespD	s5	Got	Yes	29_ds5	ds5_29	5	Draxxin	119	6.171701351	0.895121751	10.18021477
29	CON	RespD	s10	Got	Yes	29_ds10	ds10_29	10	Draxxin	219	6.677726335	0.858895078	14.40789647
30	SCFP	RespD	s0	Got	No	30_ds0	ds0_30	0	Nuflur	124	5.369051423	0.772059226	8.982929316
30	SCFP	RespD	s1	Got	Yes	30_ds1	ds1_30	1	Nuflur	118	5.860497259	0.85148935	10.77944159
30	SCFP	RespD	s5	Got	Yes	30_ds5	ds5_30	5	Nuflur	70	4.606917641	0.751624232	12.87380268
30	SCFP	RespD	s10	Got	Yes	30_ds10	ds10_30	10	Nuflur	115	6.061788659	0.885515663	9.174803987
