calf	treatment	diagnostic	day	Sickness 	Antibiotic	ID	ID2	d
1	CON	NoResp	h0	Got	No	1_d0	d0_1	0
1	CON	NoResp	h7	Got	No	1_d7	d7_1	1
1	CON	RespD	s0	Got	No	1_ds0	ds0_1	0
2	SCFP	NoResp	h0	Never	No	2_d0	d0_2	0
2	SCFP	NoResp	h7	Never	No	2_d7	d7_2	1
2	SCFP	NoResp	h14	Never	No	2_d14	d14_2	2
3	SCFP	NoResp	h0	Never	Yes	3_d0	d0_3	0
3	SCFP	NoResp	h7	Never	Yes	3_d7	d7_3	1
3	SCFP	NoResp	h14	Never	Yes	3_d14	d14_3	2
4	CON	NoResp	h0	Never	No	4_d0	d0_4	0
4	CON	NoResp	h7	Never	No	4_d7	d7_4	1
4	CON	NoResp	h14	Never	No	4_d14	d14_4	2
5	CON	NoResp	h0	Never	Yes	5_d0	d0_5	0
5	CON	NoResp	h7	Never	Yes	5_d7	d7_5	1
5	CON	NoResp	h14	Never	Yes	5_d14	d14_5	2
6	CON	NoResp	h0	Never	No	6_d0	d0_6	0
6	CON	NoResp	h7	Never	No	6_d7	d7_6	1
6	CON	NoResp	h14	Never	No	6_d14	d14_6	2
7	CON	NoResp	h0	Never	Yes	7_d0	d0_7	0
7	CON	NoResp	h7	Never	Yes	7_d7	d7_7	1
7	CON	NoResp	h14	Never	Yes	7_d14	d14_7	2
8	SCFP	NoResp	h0	Never	No	8_d0	d0_8	0
8	SCFP	NoResp	h7	Never	No	8_d7	d7_8	1
8	SCFP	NoResp	h14	Never	No	8_d14	d14_8	2
9	SCFP	NoResp	h0	Got	No	9_d0	d0_9	0
9	SCFP	NoResp	h7	Got	No	9_d7	d7_9	1
9	SCFP	RespD	s0	Got	No	9_ds0	ds0_9	0
9	SCFP	RespD	s1	Got	Yes	9_ds1	ds1_9	1
9	SCFP	RespD	s10	Got	Yes	9_ds10	ds10_9	3
10	CON	NoResp	h7	Never	Yes	10_d7	d7_10	1
10	CON	NoResp	h14	Never	Yes	10_d14	d14_10	2
11	CON	NoResp	h0	Never	No	11_d0	d0_11	0
11	CON	NoResp	h7	Never	No	11_d7	d7_11	1
11	CON	NoResp	h14	Never	No	11_d14	d14_11	2
12	SCFP	NoResp	h0	Never	No	12_d0	d0_12	0
12	SCFP	NoResp	h7	Never	No	12_d7	d7_12	1
12	SCFP	NoResp	h14	Never	No	12_d14	d14_12	2
13	CON	NoResp	h0	Never	No	13_d0	d0_13	0
13	CON	NoResp	h7	Never	No	13_d7	d7_13	1
13	CON	NoResp	h14	Never	No	13_d14	d14_13	2
14	SCFP	NoResp	h0	Never	No	14_d0	d0_14	0
14	SCFP	NoResp	h14	Never	No	14_d14	d14_14	2
15	CON	NoResp	h0	Got	No	15_d0	d0_15	0
15	CON	NoResp	h7	Got	No	15_d7	d7_15	1
15	CON	NoResp	h14	Got	No	15_d14	d14_15	2
15	CON	RespD	s1	Got	Yes	15_ds1	ds1_15	1
15	CON	RespD	s5	Got	Yes	15_ds5	ds5_15	2
15	CON	RespD	s10	Got	Yes	15_ds10	ds10_15	3
16	CON	NoResp	h7	Never	Yes	16_d7	d7_16	1
16	CON	NoResp	h14	Never	Yes	16_d14	d14_16	2
17	CON	NoResp	h7	Never	No	17_d7	d7_17	1
17	CON	NoResp	h14	Never	No	17_d14	d14_17	2
18	CON	RespD	s0	Got	No	18_ds0	ds0_18	0
18	CON	RespD	s1	Got	Yes	18_ds1	ds1_18	1
18	CON	RespD	s5	Got	Yes	18_ds5	ds5_18	2
18	CON	RespD	s10	Got	Yes	18_ds10	ds10_18	3
19	CON	NoResp	h0	Got	No	19_d0	d0_19	0
19	CON	RespD	s0	Got	No	19_ds0	ds0_19	0
19	CON	RespD	s1	Got	Yes	19_ds1	ds1_19	1
19	CON	RespD	s5	Got	Yes	19_ds5	ds5_19	2
19	CON	RespD	s10	Got	Yes	19_ds10	ds10_19	3
20	SCFP	NoResp	h0	Never	No	20_d0	d0_20	0
20	SCFP	NoResp	h7	Never	No	20_d7	d7_20	1
20	SCFP	NoResp	h14	Never	No	20_d14	d14_20	2
21	SCFP	RespD	s0	Got	No	21_ds0	ds0_21	0
21	SCFP	RespD	s1	Got	Yes	21_ds1	ds1_21	1
21	SCFP	RespD	s5	Got	Yes	21_ds5	ds5_21	2
21	SCFP	RespD	s10	Got	Yes	21_ds10	ds10_21	3
22	SCFP	NoResp	h0	Never	No	22_d0	d0_22	0
22	SCFP	NoResp	h7	Never	No	22_d7	d7_22	1
22	SCFP	NoResp	h14	Never	No	22_d14	d14_22	2
23	CON	RespD	s1	Got	Yes	23_ds1	ds1_23	1
23	CON	RespD	s5	Got	Yes	23_ds5	ds5_23	2
23	CON	RespD	s10	Got	Yes	23_ds10	ds10_23	3
24	SCFP	NoResp	h7	Never	Yes	24_d7	d7_24	1
24	SCFP	NoResp	h14	Never	Yes	24_d14	d14_24	2
25	SCFP	NoResp	h7	Never	No	25_d7	d7_25	1
25	SCFP	NoResp	h14	Never	No	25_d14	d14_25	2
26	SCFP	NoResp	h7	Never	Yes	26_d7	d7_26	1
26	SCFP	NoResp	h14	Never	Yes	26_d14	d14_26	2
27	SCFP	NoResp	h7	Never	Yes	27_d7	d7_27	1
28	SCFP	NoResp	h7	Got	No	28_d7	d7_28	1
28	SCFP	RespD	s0	Got	No	28_ds0	ds0_28	0
28	SCFP	RespD	s1	Got	Yes	28_ds1	ds1_28	1
28	SCFP	RespD	s5	Got	Yes	28_ds5	ds5_28	2
28	SCFP	RespD	s10	Got	Yes	28_ds10	ds10_28	3
29	CON	RespD	s0	Got	No	29_ds0	ds0_29	0
29	CON	RespD	s1	Got	Yes	29_ds1	ds1_29	1
29	CON	RespD	s5	Got	Yes	29_ds5	ds5_29	2
29	CON	RespD	s10	Got	Yes	29_ds10	ds10_29	3
30	SCFP	NoResp	h0	Got	No	30_d0	d0_30	0
30	SCFP	RespD	s0	Got	No	30_ds0	ds0_30	0
30	SCFP	RespD	s1	Got	Yes	30_ds1	ds1_30	1
30	SCFP	RespD	s5	Got	Yes	30_ds5	ds5_30	2
30	SCFP	RespD	s10	Got	Yes	30_ds10	ds10_30	3
