"","Genus","d","Abundance.average","overall.max"
"1","[Ruminococcus] gnavus group","5",0.0214764147113745,0.0214764147113745
"2","[Ruminococcus] gnavus group","10",0.00109903514783081,0.0214764147113745
"3","[Ruminococcus] gnavus group","0",0.00223643574544382,0.0214764147113745
"4","[Ruminococcus] gnavus group","1",0.002002002002002,0.0214764147113745
"5","[Ruminococcus] torques group","10",0.00655259510885299,0.0103958078682008
"6","[Ruminococcus] torques group","0",0.00287521564117309,0.0103958078682008
"7","[Ruminococcus] torques group","1",0.00111324993439141,0.0103958078682008
"8","[Ruminococcus] torques group","5",0.0103958078682008,0.0103958078682008
"9","Acinetobacter","10",0.019854629489758,0.0455781341056151
"10","Acinetobacter","1",0.00939738638738793,0.0455781341056151
"11","Acinetobacter","5",0.0173662270326984,0.0455781341056151
"12","Acinetobacter","0",0.0455781341056151,0.0455781341056151
"13","Aerococcus","1",0.000857449088960343,0.0226342145632345
"14","Aerococcus","5",0.000688468158347676,0.0226342145632345
"15","Aerococcus","10",0.000662126371547484,0.0226342145632345
"16","Aerococcus","0",0.0226342145632345,0.0226342145632345
"17","Bacillus","1",0.0248282416596118,0.0248282416596118
"18","Bacillus","0",0.0118748625998107,0.0248282416596118
"19","Bacillus","10",0.0178898724200416,0.0248282416596118
"20","Bacillus","5",0.0164628442666441,0.0248282416596118
"21","Bacteroides","10",0.0284593334330017,0.176145635025338
"22","Bacteroides","0",0.0871966703704065,0.176145635025338
"23","Bacteroides","1",0.0258790569569797,0.176145635025338
"24","Bacteroides","5",0.176145635025338,0.176145635025338
"25","Bifidobacterium","1",0.0154708089418515,0.0579991724252434
"26","Bifidobacterium","10",0.0501259475807509,0.0579991724252434
"27","Bifidobacterium","0",0.0188068494647406,0.0579991724252434
"28","Bifidobacterium","5",0.0579991724252434,0.0579991724252434
"29","Butyricicoccus","10",0.00226907905031295,0.0164186473896381
"30","Butyricicoccus","0",0.00276399335289602,0.0164186473896381
"31","Butyricicoccus","5",0.0164186473896381,0.0164186473896381
"32","Butyricicoccus","1",0,0.0164186473896381
"33","Caulobacter","5",0.000335983631111043,0.0116347261973782
"34","Caulobacter","10",8.9031339031339e-05,0.0116347261973782
"35","Caulobacter","0",0.00044387666773947,0.0116347261973782
"36","Caulobacter","1",0.0116347261973782,0.0116347261973782
"37","Clostridium sensu stricto 1","1",0.00656716117383279,0.0228424940484249
"38","Clostridium sensu stricto 1","0",0.0228424940484249,0.0228424940484249
"39","Clostridium sensu stricto 1","10",0.021779950276072,0.0228424940484249
"40","Clostridium sensu stricto 1","5",0.00635963144463464,0.0228424940484249
"41","Collinsella","10",0.0159863540841426,0.047527316382722
"42","Collinsella","1",0.0068852805554192,0.047527316382722
"43","Collinsella","5",0.047527316382722,0.047527316382722
"44","Collinsella","0",0.00780471765119992,0.047527316382722
"45","Corynebacterium 1","10",0.000337089206193564,0.0142053175059387
"46","Corynebacterium 1","0",0.0142053175059387,0.0142053175059387
"47","Corynebacterium 1","1",0.000398855906389764,0.0142053175059387
"48","Corynebacterium 1","5",0.00333388794189217,0.0142053175059387
"49","Deinococcus","10",0.0105490718801311,0.0105490718801311
"50","Deinococcus","0",0.00304582085362563,0.0105490718801311
"51","Deinococcus","5",0.00309633027522936,0.0105490718801311
"52","Deinococcus","1",0.00341433190447073,0.0105490718801311
"53","Gallibacterium","1",0.000179798187804903,0.0215915401912827
"54","Gallibacterium","5",0.002568999131799,0.0215915401912827
"55","Gallibacterium","0",0.01198163507109,0.0215915401912827
"56","Gallibacterium","10",0.0215915401912827,0.0215915401912827
"57","Histophilus","1",0.0559688274884874,0.0559688274884874
"58","Histophilus","5",0.000222098833981122,0.0559688274884874
"59","Histophilus","0",0.000969827586206897,0.0559688274884874
"60","Histophilus","10",0.00053186345614544,0.0559688274884874
"61","Lactobacillus","0",0.0668428895391931,0.266196381662028
"62","Lactobacillus","5",0.102536885411491,0.266196381662028
"63","Lactobacillus","10",0.266196381662028,0.266196381662028
"64","Lactobacillus","1",0.147590127809434,0.266196381662028
"65","Lactococcus","5",0.0018348623853211,0.010106377966781
"66","Lactococcus","10",0.010106377966781,0.010106377966781
"67","Lactococcus","0",0.000966511936339523,0.010106377966781
"68","Lactococcus","1",0.0017007361058808,0.010106377966781
"69","Mannheimia","1",0.0160300507198549,0.0674634845662126
"70","Mannheimia","5",0.000241837968561064,0.0674634845662126
"71","Mannheimia","10",0.00116938653854275,0.0674634845662126
"72","Mannheimia","0",0.0674634845662126,0.0674634845662126
"73","Methanobrevibacter","0",0.0117934259761425,0.0117934259761425
"74","Methanobrevibacter","10",0.00759451229174102,0.0117934259761425
"75","Methanobrevibacter","1",0.00176678330379575,0.0117934259761425
"76","Methanobrevibacter","5",0.00303781214292846,0.0117934259761425
"77","Moraxella","1",0.054459157148177,0.0712177638836358
"78","Moraxella","10",0.0712177638836358,0.0712177638836358
"79","Moraxella","5",0.0102081524581258,0.0712177638836358
"80","Moraxella","0",0.0284965995110499,0.0712177638836358
"81","Mycoplasma","10",0.020557792416917,0.166331626700894
"82","Mycoplasma","1",0.166331626700894,0.166331626700894
"83","Mycoplasma","5",0.00998744103260004,0.166331626700894
"84","Mycoplasma","0",0.0725613395225464,0.166331626700894
"85","Olsenella","0",0.0023696682464455,0.0100029346842104
"86","Olsenella","10",0.0100029346842104,0.0100029346842104
"87","Olsenella","5",0.00850260142218475,0.0100029346842104
"88","Olsenella","1",0.00548533814671737,0.0100029346842104
"89","Paenibacillus","1",0.0254704750277105,0.0254704750277105
"90","Paenibacillus","10",0.0110940629488376,0.0254704750277105
"91","Paenibacillus","5",0.0133953660973443,0.0254704750277105
"92","Paenibacillus","0",0.00571808942029159,0.0254704750277105
"93","Porphyromonas","5",0.00160993169141523,0.0160585958615661
"94","Porphyromonas","0",0.0160585958615661,0.0160585958615661
"95","Porphyromonas","10",0.00768476273092163,0.0160585958615661
"96","Porphyromonas","1",0.00154693212269115,0.0160585958615661
"97","Prevotellaceae","1",0.0544231032866663,0.0544231032866663
"98","Prevotellaceae","10",0.00318018830961387,0.0544231032866663
"99","Prevotellaceae","0",0.019182025936428,0.0544231032866663
"100","Prevotellaceae","5",0.00273909152912116,0.0544231032866663
"101","Pseudomonas","0",0.00845076927688546,0.0380634429276877
"102","Pseudomonas","1",0.0171413879038017,0.0380634429276877
"103","Pseudomonas","10",0.0222221991584094,0.0380634429276877
"104","Pseudomonas","5",0.0380634429276877,0.0380634429276877
"105","Psychrobacter","10",0.000647177635490064,0.050385892442502
"106","Psychrobacter","5",0.050385892442502,0.050385892442502
"107","Psychrobacter","1",0.0459673538730509,0.050385892442502
"108","Psychrobacter","0",0.016415133214674,0.050385892442502
"109","Ruminococcaceae","10",0.00111337443523286,0.0166489323969639
"110","Ruminococcaceae","5",0.000725513905683192,0.0166489323969639
"111","Ruminococcaceae","0",0.00460433534686782,0.0166489323969639
"112","Ruminococcaceae","1",0.0166489323969639,0.0166489323969639
"113","Staphylococcus","10",0.0138528064042356,0.0587408492747941
"114","Staphylococcus","1",0.0223733376882717,0.0587408492747941
"115","Staphylococcus","0",0.0587408492747941,0.0587408492747941
"116","Staphylococcus","5",0.00520043480094683,0.0587408492747941
"117","Streptococcus","1",0.0426384107960242,0.0988850747272853
"118","Streptococcus","10",0.0988850747272853,0.0988850747272853
