"","Family","d","Abundance.average","overall.max"
"1","Aerococcaceae","0",0.0269138477905618,0.0269138477905618
"2","Aerococcaceae","10",0.000840189049610162,0.0269138477905618
"3","Aerococcaceae","5",0.00336817209448917,0.0269138477905618
"4","Aerococcaceae","1",0.00148482933963008,0.0269138477905618
"5","Bacillaceae","10",0.0180790513833409,0.0248282416596118
"6","Bacillaceae","0",0.0118748625998107,0.0248282416596118
"7","Bacillaceae","5",0.0164628442666441,0.0248282416596118
"8","Bacillaceae","1",0.0248282416596118,0.0248282416596118
"9","Bacteroidaceae","1",0.0258790569569797,0.176145635025338
"10","Bacteroidaceae","0",0.0871966703704065,0.176145635025338
"11","Bacteroidaceae","10",0.0284593334330017,0.176145635025338
"12","Bacteroidaceae","5",0.176145635025338,0.176145635025338
"13","Bifidobacteriaceae","1",0.0154708089418515,0.0579991724252434
"14","Bifidobacteriaceae","5",0.0579991724252434,0.0579991724252434
"15","Bifidobacteriaceae","0",0.0188068494647406,0.0579991724252434
"16","Bifidobacteriaceae","10",0.0522860149437041,0.0579991724252434
"17","Clostridiaceae 1","0",0.0253726838126573,0.0253726838126573
"18","Clostridiaceae 1","5",0.0120265876270266,0.0253726838126573
"19","Clostridiaceae 1","1",0.00656716117383279,0.0253726838126573
"20","Clostridiaceae 1","10",0.0221667600623596,0.0253726838126573
"21","Coriobacteriaceae","5",0.047527316382722,0.047527316382722
"22","Coriobacteriaceae","1",0.0068852805554192,0.047527316382722
"23","Coriobacteriaceae","10",0.0159863540841426,0.047527316382722
"24","Coriobacteriaceae","0",0.00780471765119992,0.047527316382722
"25","Lachnospiraceae","10",0.0364748285103009,0.0696479097034324
"26","Lachnospiraceae","1",0.0178614692862436,0.0696479097034324
"27","Lachnospiraceae","5",0.0696479097034324,0.0696479097034324
"28","Lachnospiraceae","0",0.0242565160283878,0.0696479097034324
"29","Lactobacillaceae","1",0.147590127809434,0.266386423471226
"30","Lactobacillaceae","0",0.066948990334949,0.266386423471226
"31","Lactobacillaceae","10",0.266386423471226,0.266386423471226
"32","Lactobacillaceae","5",0.102536885411491,0.266386423471226
"33","Moraxellaceae","10",0.0947054050598208,0.110648561560759
"34","Moraxellaceae","1",0.110648561560759,0.110648561560759
"35","Moraxellaceae","5",0.0782021099018873,0.110648561560759
"36","Moraxellaceae","0",0.0914580365926122,0.110648561560759
"37","Mycoplasmataceae","5",0.00998744103260004,0.166331626700894
"38","Mycoplasmataceae","10",0.020557792416917,0.166331626700894
"39","Mycoplasmataceae","0",0.0725613395225464,0.166331626700894
"40","Mycoplasmataceae","1",0.166331626700894,0.166331626700894
"41","Paenibacillaceae","1",0.0254704750277105,0.0254704750277105
"42","Paenibacillaceae","5",0.0133953660973443,0.0254704750277105
"43","Paenibacillaceae","0",0.00571808942029159,0.0254704750277105
"44","Paenibacillaceae","10",0.0110940629488376,0.0254704750277105
"45","Pasteurellaceae","5",0.00899464881777945,0.0832306096620679
"46","Pasteurellaceae","10",0.0319602493744156,0.0832306096620679
"47","Pasteurellaceae","1",0.0746654097967557,0.0832306096620679
"48","Pasteurellaceae","0",0.0832306096620679,0.0832306096620679
"49","Prevotellaceae","0",0.0481240270073208,0.0790675927576722
"50","Prevotellaceae","1",0.0790675927576722,0.0790675927576722
"51","Prevotellaceae","10",0.0253798044085735,0.0790675927576722
"52","Prevotellaceae","5",0.0213656502168618,0.0790675927576722
"53","Pseudomonadaceae","1",0.0171413879038017,0.0382855417616688
"54","Pseudomonadaceae","10",0.0222221991584094,0.0382855417616688
"55","Pseudomonadaceae","0",0.00845076927688546,0.0382855417616688
"56","Pseudomonadaceae","5",0.0382855417616688,0.0382855417616688
"57","Ruminococcaceae","0",0.0460386315234975,0.0530393358185105
"58","Ruminococcaceae","10",0.0404416322730926,0.0530393358185105
"59","Ruminococcaceae","1",0.0342047025317341,0.0530393358185105
"60","Ruminococcaceae","5",0.0530393358185105,0.0530393358185105
"61","Staphylococcaceae","10",0.0138528064042356,0.0625267500580839
"62","Staphylococcaceae","5",0.00619987955386187,0.0625267500580839
"63","Staphylococcaceae","1",0.0255604393005702,0.0625267500580839
"64","Staphylococcaceae","0",0.0625267500580839,0.0625267500580839
"65","Streptococcaceae","0",0.0440232508203435,0.108991452694066
"66","Streptococcaceae","1",0.044339146901905,0.108991452694066
"67","Streptococcaceae","10",0.108991452694066,0.108991452694066
"68","Streptococcaceae","5",0.0338810488241969,0.108991452694066
"69","Veillonellaceae","5",0.045079681905457,0.045079681905457
"70","Veillonellaceae","1",0.0409752313401852,0.045079681905457
"71","Veillonellaceae","0",0.0167754954254809,0.045079681905457
"72","Veillonellaceae","10",0.0189136469067651,0.045079681905457
