"","Genus","d","Abundance.average","overall.max"
"1","[Ruminococcus] gnavus group","5",0.0214764147113745,0.0214764147113745
"2","[Ruminococcus] gnavus group","10",0.00109903514783081,0.0214764147113745
"3","[Ruminococcus] gnavus group","0",0.00223643574544382,0.0214764147113745
"4","[Ruminococcus] gnavus group","1",0.002002002002002,0.0214764147113745
"5","Acinetobacter","10",0.019854629489758,0.0455781341056151
"6","Acinetobacter","1",0.00939738638738793,0.0455781341056151
"7","Acinetobacter","5",0.0173662270326984,0.0455781341056151
"8","Acinetobacter","0",0.0455781341056151,0.0455781341056151
"9","Aerococcus","1",0.000857449088960343,0.0226342145632345
"10","Aerococcus","5",0.000688468158347676,0.0226342145632345
"11","Aerococcus","10",0.000662126371547484,0.0226342145632345
"12","Aerococcus","0",0.0226342145632345,0.0226342145632345
"13","Bacillus","1",0.0248282416596118,0.0248282416596118
"14","Bacillus","0",0.0118748625998107,0.0248282416596118
"15","Bacillus","10",0.0178898724200416,0.0248282416596118
"16","Bacillus","5",0.0164628442666441,0.0248282416596118
"17","Bacteroides","10",0.0284593334330017,0.176145635025338
"18","Bacteroides","0",0.0871966703704065,0.176145635025338
"19","Bacteroides","1",0.0258790569569797,0.176145635025338
"20","Bacteroides","5",0.176145635025338,0.176145635025338
"21","Bifidobacterium","1",0.0154708089418515,0.0579991724252434
"22","Bifidobacterium","10",0.0501259475807509,0.0579991724252434
"23","Bifidobacterium","0",0.0188068494647406,0.0579991724252434
"24","Bifidobacterium","5",0.0579991724252434,0.0579991724252434
"25","Clostridium sensu stricto 1","1",0.00656716117383279,0.0228424940484249
"26","Clostridium sensu stricto 1","0",0.0228424940484249,0.0228424940484249
"27","Clostridium sensu stricto 1","10",0.021779950276072,0.0228424940484249
"28","Clostridium sensu stricto 1","5",0.00635963144463464,0.0228424940484249
"29","Collinsella","10",0.0159863540841426,0.047527316382722
"30","Collinsella","1",0.0068852805554192,0.047527316382722
"31","Collinsella","5",0.047527316382722,0.047527316382722
"32","Collinsella","0",0.00780471765119992,0.047527316382722
"33","Gallibacterium","1",0.000179798187804903,0.0215915401912827
"34","Gallibacterium","5",0.002568999131799,0.0215915401912827
"35","Gallibacterium","0",0.01198163507109,0.0215915401912827
"36","Gallibacterium","10",0.0215915401912827,0.0215915401912827
"37","Histophilus","1",0.0559688274884874,0.0559688274884874
"38","Histophilus","5",0.000222098833981122,0.0559688274884874
"39","Histophilus","0",0.000969827586206897,0.0559688274884874
"40","Histophilus","10",0.00053186345614544,0.0559688274884874
"41","Lactobacillus","0",0.0668428895391931,0.266196381662028
"42","Lactobacillus","5",0.102536885411491,0.266196381662028
"43","Lactobacillus","10",0.266196381662028,0.266196381662028
"44","Lactobacillus","1",0.147590127809434,0.266196381662028
"45","Mannheimia","1",0.0160300507198549,0.0674634845662126
"46","Mannheimia","5",0.000241837968561064,0.0674634845662126
"47","Mannheimia","10",0.00116938653854275,0.0674634845662126
"48","Mannheimia","0",0.0674634845662126,0.0674634845662126
"49","Moraxella","1",0.054459157148177,0.0712177638836358
"50","Moraxella","10",0.0712177638836358,0.0712177638836358
"51","Moraxella","5",0.0102081524581258,0.0712177638836358
"52","Moraxella","0",0.0284965995110499,0.0712177638836358
"53","Mycoplasma","10",0.020557792416917,0.166331626700894
"54","Mycoplasma","1",0.166331626700894,0.166331626700894
"55","Mycoplasma","5",0.00998744103260004,0.166331626700894
"56","Mycoplasma","0",0.0725613395225464,0.166331626700894
"57","Paenibacillus","1",0.0254704750277105,0.0254704750277105
"58","Paenibacillus","10",0.0110940629488376,0.0254704750277105
"59","Paenibacillus","5",0.0133953660973443,0.0254704750277105
"60","Paenibacillus","0",0.00571808942029159,0.0254704750277105
"61","Prevotellaceae","1",0.0544231032866663,0.0544231032866663
"62","Prevotellaceae","10",0.00318018830961387,0.0544231032866663
"63","Prevotellaceae","0",0.019182025936428,0.0544231032866663
"64","Prevotellaceae","5",0.00273909152912116,0.0544231032866663
"65","Pseudomonas","0",0.00845076927688546,0.0380634429276877
"66","Pseudomonas","1",0.0171413879038017,0.0380634429276877
"67","Pseudomonas","10",0.0222221991584094,0.0380634429276877
"68","Pseudomonas","5",0.0380634429276877,0.0380634429276877
"69","Psychrobacter","10",0.000647177635490064,0.050385892442502
"70","Psychrobacter","5",0.050385892442502,0.050385892442502
"71","Psychrobacter","1",0.0459673538730509,0.050385892442502
"72","Psychrobacter","0",0.016415133214674,0.050385892442502
"73","Staphylococcus","10",0.0138528064042356,0.0587408492747941
"74","Staphylococcus","1",0.0223733376882717,0.0587408492747941
"75","Staphylococcus","0",0.0587408492747941,0.0587408492747941
"76","Staphylococcus","5",0.00520043480094683,0.0587408492747941
"77","Streptococcus","1",0.0426384107960242,0.0988850747272853
"78","Streptococcus","10",0.0988850747272853,0.0988850747272853
"79","Streptococcus","0",0.0430567388840039,0.0988850747272853
"80","Streptococcus","5",0.0320461864388758,0.0988850747272853
"81","Veillonella","10",0.0104677349399111,0.0397556635983871
"82","Veillonella","1",0.028921063025468,0.0397556635983871
"83","Veillonella","0",0.011471199499021,0.0397556635983871
"84","Veillonella","5",0.0397556635983871,0.0397556635983871
