"","Genus","d","Abundance.average","overall.max"
"1","[Ruminococcus] torques group","10",0,0.0273224043715847
"2","[Ruminococcus] torques group","0",0.000541418516513265,0.0273224043715847
"3","[Ruminococcus] torques group","1",0.00700636942675159,0.0273224043715847
"4","[Ruminococcus] torques group","5",0.0273224043715847,0.0273224043715847
"5","Acinetobacter","10",0.0258521558635177,0.0457272285379129
"6","Acinetobacter","1",0.0137769227584927,0.0457272285379129
"7","Acinetobacter","5",0.0457272285379129,0.0457272285379129
"8","Acinetobacter","0",0.0183749635966763,0.0457272285379129
"9","Bacillus","1",0.0211859064875915,0.0655489540861527
"10","Bacillus","0",0.0273021939999355,0.0655489540861527
"11","Bacillus","10",0.0183180733737879,0.0655489540861527
"12","Bacillus","5",0.0655489540861527,0.0655489540861527
"13","Bacteroides","10",0.0396142116171721,0.0648672427103357
"14","Bacteroides","0",0.0551876379690949,0.0648672427103357
"15","Bacteroides","1",0.0648672427103357,0.0648672427103357
"16","Bacteroides","5",0.0199345456799408,0.0648672427103357
"17","Bifidobacterium","1",0.030293179527821,0.071470645590867
"18","Bifidobacterium","10",0.071470645590867,0.071470645590867
"19","Bifidobacterium","0",0.0196866784352487,0.071470645590867
"20","Bifidobacterium","5",0.0311134185622208,0.071470645590867
"21","Butyricicoccus","10",0.0232557024765657,0.0232557024765657
"22","Butyricicoccus","0",0.00294334069168506,0.0232557024765657
"23","Butyricicoccus","5",0.00304078776207405,0.0232557024765657
"24","Butyricicoccus","1",0.0129807645268915,0.0232557024765657
"25","Clostridium sensu stricto 1","1",0.021165380062031,0.0352211882259455
"26","Clostridium sensu stricto 1","0",0.0120440720249969,0.0352211882259455
"27","Clostridium sensu stricto 1","10",0.0352211882259455,0.0352211882259455
"28","Clostridium sensu stricto 1","5",0.0117792932424055,0.0352211882259455
"29","Collinsella","10",0.0373664363318874,0.0373664363318874
"30","Collinsella","1",0.0137987124169577,0.0373664363318874
"31","Collinsella","5",0.0108240252854788,0.0373664363318874
"32","Collinsella","0",0.02420507292019,0.0373664363318874
"33","Enhydrobacter","1",0.0826387551762824,0.0826387551762824
"34","Enhydrobacter","10",0.0005824111822947,0.0826387551762824
"35","Enhydrobacter","5",0.00162103800342028,0.0826387551762824
"36","Enhydrobacter","0",0,0.0826387551762824
"37","Enterobacteriaceae","5",0.0253766180055085,0.0253766180055085
"38","Enterobacteriaceae","10",0,0.0253766180055085
"39","Enterobacteriaceae","1",0,0.0253766180055085
"40","Enterobacteriaceae","0",0.00956585724797645,0.0253766180055085
"41","Faecalibacterium","5",0.00826617069642488,0.0268329857413485
"42","Faecalibacterium","10",0.0268329857413485,0.0268329857413485
"43","Faecalibacterium","0",0.00127725368943453,0.0268329857413485
"44","Faecalibacterium","1",0.0125922767827233,0.0268329857413485
"45","Lactobacillus","0",0.183570159114894,0.19648965520724
"46","Lactobacillus","5",0.105824925528007,0.19648965520724
"47","Lactobacillus","10",0.19648965520724,0.19648965520724
"48","Lactobacillus","1",0.154096370313943,0.19648965520724
"49","Moraxella","1",0,0.126157884651164
"50","Moraxella","10",0.00254752106603958,0.126157884651164
"51","Moraxella","5",0.00140901771336554,0.126157884651164
"52","Moraxella","0",0.126157884651164,0.126157884651164
"53","Mycoplasma","10",0.0229528470901306,0.0279594352637295
"54","Mycoplasma","1",0.0279594352637295,0.0279594352637295
"55","Mycoplasma","5",0.00330646827856995,0.0279594352637295
"56","Mycoplasma","0",0.00478292862398823,0.0279594352637295
"57","Paracoccus","0",0,0.199717855703345
"58","Paracoccus","1",0.199717855703345,0.199717855703345
"59","Paracoccus","10",0,0.199717855703345
"60","Paracoccus","5",0.00242865816636308,0.199717855703345
"61","Pasteurella","10",0.000598913421825414,0.0356880058866814
"62","Pasteurella","0",0.0356880058866814,0.0356880058866814
"63","Pasteurella","5",0,0.0356880058866814
"64","Pasteurella","1",0,0.0356880058866814
"65","Prevotella 2","5",0.000619962802231866,0.0223398001175779
"66","Prevotella 2","1",0.00233545647558386,0.0223398001175779
"67","Prevotella 2","0",0,0.0223398001175779
"68","Prevotella 2","10",0.0223398001175779,0.0223398001175779
"69","Prevotella 9","1",0.00249615975422427,0.0242255439583916
"70","Prevotella 9","10",0.0242255439583916,0.0242255439583916
"71","Prevotella 9","0",0,0.0242255439583916
"72","Prevotella 9","5",0.000206654267410622,0.0242255439583916
"73","Pseudomonas","0",0.011037527593819,0.0336601203618041
"74","Pseudomonas","1",0.028813835305355,0.0336601203618041
"75","Pseudomonas","10",0.0136363281468535,0.0336601203618041
"76","Pseudomonas","5",0.0336601203618041,0.0336601203618041
"77","Psychrobacter","10",0.000783852635704488,0.219545208446129
"78","Psychrobacter","5",0.0128967468299851,0.219545208446129
"79","Psychrobacter","1",0.00153609831029186,0.219545208446129
"80","Psychrobacter","0",0.219545208446129,0.219545208446129
"81","Ruminococcaceae UCG-014","5",0.0316194831184041,0.0316194831184041
"82","Ruminococcaceae UCG-014","10",0.0120293636359804,0.0316194831184041
"83","Ruminococcaceae UCG-014","1",0.00926991301965619,0.0316194831184041
"84","Ruminococcaceae UCG-014","0",0.00294334069168506,0.0316194831184041
"85","Streptococcus","1",0.0390562208621622,0.0524301484458819
"86","Streptococcus","10",0.0490198332989041,0.0524301484458819
"87","Streptococcus","0",0.0524301484458819,0.0524301484458819
"88","Streptococcus","5",0.0309444798851521,0.0524301484458819
"89","Veillonella","10",0.0581864494157684,0.0581864494157684
"90","Veillonella","1",0.00408937417460256,0.0581864494157684
"91","Veillonella","0",0.00824677210583119,0.0581864494157684
"92","Veillonella","5",0.00201288244766506,0.0581864494157684
