"","Family","d","Abundance.average","overall.max"
"1","Bacillaceae","0",0.0197265075088786,0.0362448564187485
"2","Bacillaceae","14",0.0362448564187485,0.0362448564187485
"3","Bacillaceae","7",0.00771078150036118,0.0362448564187485
"4","Bacteroidaceae","0",0.0463297949240224,0.0463297949240224
"5","Bacteroidaceae","7",0.0463221179444139,0.0463297949240224
"6","Bacteroidaceae","14",0.0301899983312465,0.0463297949240224
"7","Bifidobacteriaceae","7",0.0186344518180533,0.0418085828557082
"8","Bifidobacteriaceae","0",0.0418085828557082,0.0418085828557082
"9","Bifidobacteriaceae","14",0.00715765902292675,0.0418085828557082
"10","Corynebacteriaceae","0",0.0211833754441251,0.0211833754441251
"11","Corynebacteriaceae","7",0.00610726587309223,0.0211833754441251
"12","Corynebacteriaceae","14",0.00902534103754603,0.0211833754441251
"13","Lachnospiraceae","14",0.0428951620606309,0.0428951620606309
"14","Lachnospiraceae","0",0.0397641790684174,0.0428951620606309
"15","Lachnospiraceae","7",0.0361474298008017,0.0428951620606309
"16","Lactobacillaceae","14",0.069113784763345,0.0873734555643087
"17","Lactobacillaceae","0",0.0873734555643087,0.0873734555643087
"18","Lactobacillaceae","7",0.0677246716097698,0.0873734555643087
"19","Moraxellaceae","7",0.214773710154769,0.214773710154769
"20","Moraxellaceae","14",0.110333345846475,0.214773710154769
"21","Moraxellaceae","0",0.197914282113242,0.214773710154769
"22","Mycoplasmataceae","14",0.268150463823974,0.268150463823974
"23","Mycoplasmataceae","7",0.169025847944474,0.268150463823974
"24","Mycoplasmataceae","0",0.00836158100343912,0.268150463823974
"25","Prevotellaceae","7",0.0104042282777103,0.043098136541762
"26","Prevotellaceae","14",0.043098136541762,0.043098136541762
"27","Prevotellaceae","0",0.0161732648165666,0.043098136541762
"28","Ruminococcaceae","0",0.0671764827501222,0.0685510728167273
"29","Ruminococcaceae","7",0.0685510728167273,0.0685510728167273
"30","Ruminococcaceae","14",0.0584159070695458,0.0685510728167273
"31","Staphylococcaceae","7",0.0053241829610947,0.0266777799739552
"32","Staphylococcaceae","14",0.00734681591175275,0.0266777799739552
"33","Staphylococcaceae","0",0.0266777799739552,0.0266777799739552
"34","Streptococcaceae","7",0.0511463023889659,0.0696715122305228
"35","Streptococcaceae","14",0.0295041372386534,0.0696715122305228
"36","Streptococcaceae","0",0.0696715122305228,0.0696715122305228
"37","Veillonellaceae","14",0.0274221523236215,0.035748716064062
"38","Veillonellaceae","0",0.0234095711963366,0.035748716064062
"39","Veillonellaceae","7",0.035748716064062,0.035748716064062
"40","Weeksellaceae","14",0.0154127702732768,0.0306754029165938
"41","Weeksellaceae","0",0.0109981232226621,0.0306754029165938
"42","Weeksellaceae","7",0.0306754029165938,0.0306754029165938
