"","Genus","d","Abundance.average","overall.max"
"1","Acinetobacter","0",0.0349670694607574,0.0465947981107983
"2","Acinetobacter","14",0.0109894926431426,0.0465947981107983
"3","Acinetobacter","7",0.0465947981107983,0.0465947981107983
"4","Bacillus","14",0.0362448564187485,0.0362448564187485
"5","Bacillus","7",0.00764871595914966,0.0362448564187485
"6","Bacillus","0",0.0192791579235979,0.0362448564187485
"7","Bacteroides","14",0.0301899983312465,0.0463297949240224
"8","Bacteroides","7",0.0463221179444139,0.0463297949240224
"9","Bacteroides","0",0.0463297949240224,0.0463297949240224
"10","Bifidobacterium","7",0.0186344518180533,0.0402920693983228
"11","Bifidobacterium","14",0.00715765902292675,0.0402920693983228
"12","Bifidobacterium","0",0.0402920693983228,0.0402920693983228
"13","Empedobacter","7",0.0247649421049749,0.0247649421049749
"14","Empedobacter","14",0.00489973221052603,0.0247649421049749
"15","Empedobacter","0",0.000210710739615992,0.0247649421049749
"16","Faecalibacterium","14",0.0108716850490721,0.0212617899539649
"17","Faecalibacterium","0",0.0133055898704535,0.0212617899539649
"18","Faecalibacterium","7",0.0212617899539649,0.0212617899539649
"19","Lactobacillus","0",0.0872877474006061,0.0872877474006061
"20","Lactobacillus","7",0.0674276436625433,0.0872877474006061
"21","Lactobacillus","14",0.069113784763345,0.0872877474006061
"22","Moraxella","14",0.0120409946094391,0.0267999604754402
"23","Moraxella","7",0.0183050945170989,0.0267999604754402
"24","Moraxella","0",0.0267999604754402,0.0267999604754402
"25","Mycoplasma","14",0.268046380279583,0.268046380279583
"26","Mycoplasma","0",0.00836158100343912,0.268046380279583
"27","Mycoplasma","7",0.169025847944474,0.268046380279583
"28","Psychrobacter","0",0.129342756467072,0.146527873750052
"29","Psychrobacter","7",0.146527873750052,0.146527873750052
"30","Psychrobacter","14",0.083449526808733,0.146527873750052
"31","Staphylococcus","14",0.00574830920479348,0.0215321802857217
"32","Staphylococcus","0",0.0215321802857217,0.0215321802857217
"33","Staphylococcus","7",0.00474844006391943,0.0215321802857217
"34","Streptococcus","14",0.029347308934281,0.0696190050107801
"35","Streptococcus","0",0.0696190050107801,0.0696190050107801
"36","Streptococcus","7",0.0505358042682924,0.0696190050107801
"37","Veillonella","0",0.0211739237905584,0.0333158796910893
"38","Veillonella","14",0.0196141510017421,0.0333158796910893
"39","Veillonella","7",0.0333158796910893,0.0333158796910893
