"","Phylum","d","Abundance.average","overall.max"
"1","Actinobacteria","10",0.0940021778140579,0.13615968407715
"2","Actinobacteria","0",0.0681638509225192,0.13615968407715
"3","Actinobacteria","1",0.0565967361389121,0.13615968407715
"4","Actinobacteria","5",0.13615968407715,0.13615968407715
"5","Bacteroidetes","0",0.184773756699405,0.251823373915379
"6","Bacteroidetes","1",0.114875683469639,0.251823373915379
"7","Bacteroidetes","5",0.251823373915379,0.251823373915379
"8","Bacteroidetes","10",0.0793079759320508,0.251823373915379
"9","Firmicutes","0",0.371542633031169,0.573398715602894
"10","Firmicutes","10",0.573398715602894,0.573398715602894
"11","Firmicutes","1",0.392244711107319,0.573398715602894
"12","Firmicutes","5",0.399045490435844,0.573398715602894
"13","Proteobacteria","1",0.245612481468389,0.245612481468389
"14","Proteobacteria","10",0.17802174699743,0.245612481468389
"15","Proteobacteria","5",0.151295644232899,0.245612481468389
"16","Proteobacteria","0",0.227624528173559,0.245612481468389
"17","Tenericutes","10",0.0225447021880429,0.168133428502696
"18","Tenericutes","1",0.168133428502696,0.168133428502696
"19","Tenericutes","0",0.0773010166807978,0.168133428502696
"20","Tenericutes","5",0.0180025729022795,0.168133428502696
