Feature ID,Taxon,Phylum,Class,Order,Family,Genus,Species,Confidence
ecaa898888a53dc4de144f53c2d4e402,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,Lactobacillaceae,0.888344729
00d6c8125b9a2f4682c89a2ac69e593e,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998691
0ccda82eb40a7543f3ef58e482e5dbb3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.99999564
20bb42da3eb7035827a2194c9c4e8af9,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.99999758
241e5cb5b87706fb5e01a3db7f19a7cf,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.976841286
257be68f54b8cc9811159f1704bf477c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.959757705
29d40d4266ffd963289f26c974df2f79,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.93428314
2e1393f4306ce65796dccf5c48c361e3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999962683
430db678027819b371aa04fcd2058323,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.99999667
44459f7bd0f45aa7bd987e317b01cfb5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999993608
47d45a8dc9139e73b59572641d927f8b,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999981777
4b108a7aa497e91a523ab8bc518bcc8f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998804
4bcacbde46aeff1a9e388e9ca7c42741,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999968129
51d6a6159efa4f3a320105ae7e3d68aa,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999985175
5ae6e2da86f0d7dc00c92143ac57ecb8,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998289
5aeafd6ca75264bfbee3b9e45b283afe,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999996893
5b5e4739ea1a34e81a3e61ab72ab8d9c,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999994958
7d32a47249a88ed474c2314000d6a8ce,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998443
7eef213dc876f1217356a55740127ce3,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999984548
889b657ba8c1f96bfabe992b93ec0f27,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.99999819
9429d71c22c34c9d88f153c15eed921f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999858212
95e996b6512a4c0dabab115e50e16520,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.874423652
9e069f8264f418c6be215234ba620334,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.931703089
b133e1940273fe267056cd1a77ea8f91,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998027
b2612c4e3b9e1f077aee31ef085c0b12,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.911049467
b7c794e675f986384eeedced036fda02,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999996549
c1d8b65cccc067be52395c7109cc90bc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999997337
ca06344bc83f2639c2bb6d9c4a3ff6e0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.969016817
ddb854872793e7ff181f3031de3cdca5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999998613
df0d69605d8b1285cbbf2bda227932ce,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.88817552
edb080c0c3857cef5e3113cc2f195236,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.985976777
f664e26f149ad94f832825101720297f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.999373384
f7c5f11a11c7a411ab7e671512a20a06,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus,0.931450535
15add795169d0e5187721dcece104f0f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999664689
1c081fcd670456c92281cac151550e82,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999640795
23a2ad257fb2d9f8509eb48fee7d8afe,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999536544
4b2ec0f2889d55b3ac6147a76d4547c4,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999838602
5302e0b332718dbf424bb6a1cda9e333,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.906088415
5417f5a187626c5667a8e29ee5d36e2f,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999809862
79070195cbf3a62cddfe952c0963aa57,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.996903471
8a6dcde3cf7439639e656fbf6a2c8b5a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999786419
a872df88e9ac1403c9586304c22e8ba5,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999839713
ba87c0ea88944506b111be7909db9c78,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999461613
e6de8ec44191102c1af6a2ab42eebaac,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus acidophilus,0.999687066
116777aa568b5d5bdbde51cbbdcf7c02,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,0.999836724
1e47fda5135d753d8729b34482580cdc,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,0.796927268
27a628aeb857e4670e4a59e0d170f20a,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus amylovorus,0.755083819
