	faith_pd
d0_1	11.6203369515
d7_1	5.3328580045
ds0_1	10.07230847
d0_2	17.349615067000002
d7_2	8.0323160065
d0_3	16.305498506
d7_3	11.216614734499998
d0_4	19.098209309
d7_4	10.451148836499998
d14_4	9.555252187499999
d0_5	17.888270717
d7_5	15.1778946025
d14_5	9.164373679499999
d0_6	17.580661188999997
d7_6	9.342453626500001
d14_6	14.817480393499999
d0_7	8.8853416565
d7_7	5.009432338499999
d14_7	7.725348308499999
d0_8	15.8003421885
d7_8	11.831271448999999
d14_8	13.8541244245
d0_9	20.549375673
d7_9	3.6887687225
ds0_9	17.349297684
ds1_9	9.348210438999999
ds10_9	10.399837572
d7_10	10.183177422499998
d14_10	2.9892784054999995
d0_11	15.1306871295
d7_11	11.433648848
d14_11	9.045928823
d7_12	12.0517671875
d0_13	8.9333445185
d7_13	8.876304303
d14_13	8.2288249
d0_14	15.642069654499998
d14_14	5.1008556425
d0_15	14.274690141
d7_15	5.1945369884999995
d14_15	27.618612662
ds1_15	8.4368617885
ds5_15	8.371443105
ds10_15	8.262310709
d7_16	10.083018524499998
d14_16	14.398183850499997
d7_17	8.6966840505
d14_17	13.2031789565
ds0_18	8.875550422499998
ds1_18	12.521288947000002
ds5_18	8.510421670500001
ds10_18	9.129906597499998
ds0_19	6.650953869499999
ds1_19	7.845517625499999
ds5_19	9.758716322499998
ds10_19	11.727793992999999
d0_20	15.681647210999998
d7_20	11.183661548499998
d14_20	8.090375119
ds0_21	8.7939507345
ds1_21	9.047519245
ds5_21	16.10345383
ds10_21	11.709378534
d0_22	6.425154093
d7_22	7.284604220499999
d14_22	11.280509924499999
ds5_23	5.5515753315
ds10_23	7.385617225499999
d7_24	7.352560440499999
d14_24	13.7639271795
d7_25	10.595008475499998
d14_25	8.615706135499998
d7_26	7.380529811499999
d14_26	16.655632603
d7_27	11.889663421499998
d7_28	11.1847722045
ds0_28	10.370862327
ds1_28	8.183971733
ds5_28	11.083548195
ds10_28	8.386633538
ds0_29	11.323905897
ds1_29	12.2047504795
ds5_29	9.968783856
ds10_29	13.8185165905
d0_30	7.955283967000001
ds0_30	9.126279848500001
ds1_30	11.084420196
ds5_30	13.406364266500002
ds10_30	8.8349626935
