	observed_otus
d0_1	125
d7_1	27
ds0_1	99
d0_2	192
d7_2	53
d0_3	152
d7_3	92
d0_4	228
d7_4	85
d14_4	97
d0_5	193
d7_5	132
d14_5	55
d0_6	140
d7_6	70
d14_6	143
d0_7	76
d7_7	21
d14_7	49
d0_8	137
d7_8	125
d14_8	178
d0_9	229
d7_9	11
ds0_9	170
ds1_9	54
ds10_9	169
d7_10	75
d14_10	14
d0_11	179
d7_11	123
d14_11	40
d7_12	143
d0_13	91
d7_13	81
d14_13	87
d0_14	194
d14_14	19
d0_15	195
d7_15	25
d14_15	334
ds1_15	97
ds5_15	99
ds10_15	89
d7_16	94
d14_16	195
d7_17	66
d14_17	118
ds0_18	80
ds1_18	112
ds5_18	64
ds10_18	84
ds0_19	56
ds1_19	40
ds5_19	68
ds10_19	111
d0_20	172
d7_20	98
d14_20	49
ds0_21	76
ds1_21	49
ds5_21	132
ds10_21	167
d0_22	54
d7_22	45
d14_22	135
ds5_23	43
ds10_23	101
d7_24	62
d14_24	120
d7_25	103
d14_25	91
d7_26	62
d14_26	190
d7_27	120
d7_28	94
ds0_28	101
ds1_28	95
ds5_28	139
ds10_28	85
ds0_29	92
ds1_29	123
ds5_29	113
ds10_29	195
d0_30	60
ds0_30	123
ds1_30	116
ds5_30	68
ds10_30	112
