	shannon
d0_1	4.345481811567153
d7_1	0.5991293381396839
ds0_1	4.197626101071698
d0_2	5.949480054179212
d7_2	1.3402433842374482
d0_3	6.2588800126662125
d7_3	5.532280547844264
d0_4	6.71855227734134
d7_4	5.69691148082442
d14_4	5.222519258665466
d0_5	6.6110375423363585
d7_5	6.272630037469812
d14_5	5.093197504613217
d0_6	6.370769170375338
d7_6	5.388025001822998
d14_6	6.626536455905141
d0_7	2.1514685638025925
d7_7	1.0767397312305087
d14_7	1.2861803124217315
d0_8	5.330999990921367
d7_8	3.639761434289135
d14_8	6.42188218445951
d0_9	6.910261503819485
d7_9	0.2977061154323792
ds0_9	6.874164280368923
ds1_9	1.8253767319928953
ds10_9	6.677548737944169
d7_10	5.449764049275913
d14_10	1.848297297200911
d0_11	5.731855248236346
d7_11	6.376596149068242
d14_11	4.80431431290812
d7_12	6.418189313505753
d0_13	4.0708872833245815
d7_13	3.1832400049028426
d14_13	5.167924609102369
d0_14	5.276889463558602
d14_14	0.2369646524945569
d0_15	4.98013142396644
d7_15	1.7314435971664217
d14_15	7.44555248202628
ds1_15	6.043330245474699
ds5_15	6.192997283658656
ds10_15	5.999739064306968
d7_16	5.749387131240439
d14_16	6.650821202280446
d7_17	3.436611723685911
d14_17	3.681812158009845
ds0_18	5.055062421753088
ds1_18	4.972305631220151
ds5_18	3.1453029216612713
ds10_18	4.382864163301174
ds0_19	3.07780992564437
ds1_19	2.6442973688868032
ds5_19	5.529982856989051
ds10_19	5.0078351865555915
d0_20	6.461101532679831
d7_20	2.973779854574103
d14_20	2.1954389376180456
ds0_21	3.3821598452422204
ds1_21	3.0835747590259435
ds5_21	5.626936952986737
ds10_21	6.757753660571812
d0_22	3.711861141056964
d7_22	1.8276839676799341
d14_22	4.482724561432055
ds5_23	3.6692520065687755
ds10_23	4.457072899736389
d7_24	4.703374614575441
d14_24	5.8320973109804255
d7_25	4.086043696547531
d14_25	1.912974504328408
d7_26	3.6920004923358762
d14_26	6.216927251254874
d7_27	4.548274359645876
d7_28	1.4900849609058056
ds0_28	5.9761466947688255
ds1_28	6.021370726819722
ds5_28	6.48122345360599
ds10_28	5.90982768402923
ds0_29	4.773679767777251
ds1_29	4.508465042337319
ds5_29	6.411747632137561
ds10_29	6.719099039859835
d0_30	2.4988139814588113
ds0_30	6.266848823403244
ds1_30	6.248698016336778
ds5_30	4.602272686040338
ds10_30	6.165711186028233
